U+F5323	󵌣
U+F5324	󵌤
U+F5325	󵌥
U+F5326	󵌦
U+F5327	󵌧
U+F5327	󵌧
U+F5329	󵌩
U+F532A	󵌪
U+F532B	󵌫
U+F532C	󵌬
U+F532D	󵌭
U+F532E	󵌮
U+F532F	󵌯
U+F5330	󵌰
U+F5331	󵌱
U+F5332	󵌲
U+F5333	󵌳
U+F5334	󵌴
U+F5335	󵌵
U+F5336	󵌶
U+F5337	󵌷
U+F5338	󵌸
U+F5339	󵌹
U+F533A	󵌺
U+F533C	󵌼
U+F533D	󵌽
U+F533E	󵌾
U+F533F	󵌿
U+F5340	󵍀
U+F5341	󵍁
U+F5342	󵍂
U+F5343	󵍃
U+F5344	󵍄
U+F5345	󵍅
U+F5346	󵍆
U+F5347	󵍇
U+F5348	󵍈
U+F5349	󵍉
U+F534A	󵍊
U+F534B	󵍋
U+F534C	󵍌
U+F534D	󵍍
U+F534E	󵍎
U+F534F	󵍏
U+F5350	󵍐
-	-
U+F5352	󵍒
U+F5353	󵍓
U+F5354	󵍔
U+F5355	󵍕
U+F5356	󵍖
U+F5357	󵍗
U+F5358	󵍘
U+F5359	󵍙
U+F535A	󵍚
U+F535B	󵍛
U+F535D	󵍝
U+F535E	󵍞
U+F535F	󵍟
U+F5360	󵍠
U+F5361	󵍡
U+F5362	󵍢
U+F5363	󵍣
U+F5364	󵍤
U+F5365	󵍥
U+F5366	󵍦
U+F5367	󵍧
U+F5368	󵍨
U+F5369	󵍩
U+F536A	󵍪
U+F536B	󵍫
U+F536C	󵍬
U+F536D	󵍭
U+F536E	󵍮
U+F536F	󵍯
U+F5370	󵍰
U+F5371	󵍱
U+F5372	󵍲
U+F5373	󵍳
U+F5374	󵍴
U+F5375	󵍵
U+F5376	󵍶
U+F5377	󵍷
U+F5378	󵍸
U+F537A	󵍺
U+F537B	󵍻
U+F537C	󵍼
U+F537D	󵍽
U+F537E	󵍾
U+F537F	󵍿
U+F5380	󵎀
U+F5381	󵎁
U+F5382	󵎂
U+F5383	󵎃
U+F5384	󵎄
U+F5385	󵎅
U+F5386	󵎆
U+F5387	󵎇
U+F5388	󵎈
U+F5389	󵎉
U+F538A	󵎊
U+F538B	󵎋
U+F538C	󵎌
U+F538D	󵎍
U+F538E	󵎎
U+F538F	󵎏
U+F5390	󵎐
U+F5391	󵎑
U+F5392	󵎒
U+F5393	󵎓
U+F5394	󵎔
U+F5395	󵎕
U+F5396	󵎖
U+F5397	󵎗
U+F5398	󵎘
U+F5399	󵎙
U+F539A	󵎚
U+F539B	󵎛
U+F539D	󵎝
U+F539E	󵎞
U+F539F	󵎟
U+F53A0	󵎠
U+F53A1	󵎡
U+F53A1	󵎡
U+F53A3	󵎣
U+F53A4	󵎤
U+F53A5	󵎥
U+F53A6	󵎦
U+F53A7	󵎧
U+F53A8	󵎨
U+F53A9	󵎩
U+F53AA	󵎪
U+F53AB	󵎫
U+F53AC	󵎬
U+F53AD	󵎭
U+F53AE	󵎮
U+F53AF	󵎯
U+F53B0	󵎰
U+F53B1	󵎱
U+F53B2	󵎲
U+F53B3	󵎳
U+F53B4	󵎴
U+F53B5	󵎵
U+F53B6	󵎶
U+F53B7	󵎷
U+F53B8	󵎸
U+F53B9	󵎹
U+F53BA	󵎺
U+F53BB	󵎻
U+F53BC	󵎼
U+F53BD	󵎽
U+F53BE	󵎾
U+F53BF	󵎿
U+F53C0	󵏀
U+F53C0	󵏀
U+F53C3	󵏃
U+F53C3	󵏃
U+F53C5	󵏅
U+F53C6	󵏆
U+F53C7	󵏇
U+F53C8	󵏈
U+F53C9	󵏉
U+F53CA	󵏊
U+F53CB	󵏋
U+F53CC	󵏌
U+F53CD	󵏍
U+F53CE	󵏎
U+F53CF	󵏏
U+F53D0	󵏐
U+F53D1	󵏑
U+F53D2	󵏒
U+F53D3	󵏓
U+F53D4	󵏔
U+F53D5	󵏕
U+F53D6	󵏖
U+F53D7	󵏗
U+F53D8	󵏘
U+F53D9	󵏙
U+F53DA	󵏚
U+F53DB	󵏛
U+F53DC	󵏜
U+F53DD	󵏝
U+F53DE	󵏞
U+F53DF	󵏟
U+F53E0	󵏠
U+F53E1	󵏡
U+F53E2	󵏢
U+F53E3	󵏣
U+F53E5	󵏥
U+F53E6	󵏦
U+F53E7	󵏧
U+F53E8	󵏨
U+F53E9	󵏩
U+F53EA	󵏪
U+F53EC	󵏬
U+F53ED	󵏭
U+F53EE	󵏮
U+F53EF	󵏯
U+F53F1	󵏱
U+F53F2	󵏲
U+F53F3	󵏳
U+F53F5	󵏵
U+F53F7	󵏷
U+F53F8	󵏸
U+F53F9	󵏹
U+F53F9	󵏹
U+F53FB	󵏻
U+F53FC	󵏼
U+F53FD	󵏽
U+F53FE	󵏾
U+F53FF	󵏿
U+F5400	󵐀
U+F5401	󵐁
U+F5402	󵐂
U+F5403	󵐃
U+F5404	󵐄
U+F5405	󵐅
U+F5406	󵐆
U+F5407	󵐇
U+F5408	󵐈
U+F5409	󵐉
U+F540A	󵐊
U+F540B	󵐋
U+F540C	󵐌
U+F540D	󵐍
U+F540E	󵐎
U+F540F	󵐏
U+F5410	󵐐
U+F5411	󵐑
U+F5412	󵐒
U+F5413	󵐓
U+F5414	󵐔
U+F5415	󵐕
U+F5416	󵐖
U+F5417	󵐗
U+F5417	󵐗
U+F5419	󵐙
U+F541A	󵐚
U+F541B	󵐛
U+F541C	󵐜
U+F541D	󵐝
U+F541E	󵐞
U+F541F	󵐟
U+F5420	󵐠
U+F5421	󵐡
U+F5422	󵐢
U+F5423	󵐣
U+F5424	󵐤
U+F5425	󵐥
U+F5426	󵐦
U+F5427	󵐧
U+F5428	󵐨
U+F5429	󵐩
U+F542A	󵐪
U+F542B	󵐫
U+F542C	󵐬
U+F542D	󵐭
U+F542E	󵐮
U+F542D	󵐭
U+F5430	󵐰
U+F5431	󵐱
U+F5432	󵐲
U+F5433	󵐳
U+F5434	󵐴
U+F5435	󵐵
U+F5436	󵐶
U+F5437	󵐷
U+F5438	󵐸
U+F5439	󵐹
U+F543B	󵐻
U+F543C	󵐼
U+F543D	󵐽
U+F543E	󵐾
U+F543F	󵐿
U+F5441	󵑁
U+F5441	󵑁
U+F5443	󵑃
U+F5444	󵑄
U+F5445	󵑅
U+F5446	󵑆
U+F5448	󵑈
U+F5449	󵑉
U+F544A	󵑊
U+F544B	󵑋
U+F544C	󵑌
U+F544D	󵑍
U+F544E	󵑎
U+F544F	󵑏
U+F5450	󵑐
U+F5452	󵑒
U+F5453	󵑓
U+F5454	󵑔
U+F5455	󵑕
U+F5456	󵑖
U+F5457	󵑗
U+F5458	󵑘
U+F5459	󵑙
U+F545A	󵑚
U+F545B	󵑛
U+F545C	󵑜
U+F545D	󵑝
U+F545E	󵑞
U+F545F	󵑟
U+F5460	󵑠
U+F5461	󵑡
U+F5462	󵑢
U+F5463	󵑣
U+F5464	󵑤
U+F5465	󵑥
U+F5466	󵑦
U+F5466	󵑦
U+F5469	󵑩
U+F546A	󵑪
U+F546B	󵑫
-	-
U+F546D	󵑭
U+F546F	󵑯
U+F5470	󵑰
U+F5471	󵑱
U+F5472	󵑲
U+F5473	󵑳
U+F5474	󵑴
U+F5475	󵑵
U+F5476	󵑶
U+F5477	󵑷
U+F5478	󵑸
-	-
U+F547A	󵑺
U+F547B	󵑻
U+F547C	󵑼
U+F547D	󵑽
U+F547D	󵑽
U+F5480	󵒀
U+F5481	󵒁
U+F5482	󵒂
U+F5483	󵒃
U+F5484	󵒄
U+F5485	󵒅
U+F5486	󵒆
U+F5487	󵒇
U+F5488	󵒈
U+F5489	󵒉
U+F548B	󵒋
U+F548C	󵒌
U+F548D	󵒍
U+F548E	󵒎
U+F548F	󵒏
U+F5490	󵒐
U+F5491	󵒑
U+F5492	󵒒
U+F5493	󵒓
U+F5495	󵒕
U+F5496	󵒖
U+F5497	󵒗
U+F5498	󵒘
U+F5499	󵒙
U+F549A	󵒚
U+F549B	󵒛
U+F549C	󵒜
U+F549D	󵒝
U+F549E	󵒞
U+F549F	󵒟
U+F54A1	󵒡
U+F54A3	󵒣
U+F54A4	󵒤
U+F54A5	󵒥
U+F54A6	󵒦
U+F54A7	󵒧
U+F54A8	󵒨
U+F54A9	󵒩
U+F54AA	󵒪
U+F54AB	󵒫
U+F54AD	󵒭
U+F54AF	󵒯
U+F54B0	󵒰
U+F54B1	󵒱
U+F54B2	󵒲
U+F54B3	󵒳
U+F54B4	󵒴
U+F54B5	󵒵
U+F54B6	󵒶
U+F54B7	󵒷
U+F54B8	󵒸
U+F54B9	󵒹
U+F54BA	󵒺
U+F54BB	󵒻
U+F54BC	󵒼
U+F54BD	󵒽
U+F54BE	󵒾
U+F54BF	󵒿
U+F54C0	󵓀
U+F54C1	󵓁
U+F54C2	󵓂
U+F54C3	󵓃
U+F54C4	󵓄
U+F54C5	󵓅
U+F54C6	󵓆
U+F54C7	󵓇
U+F54C8	󵓈
U+F54C9	󵓉
U+F54CA	󵓊
U+F54CB	󵓋
U+F54CC	󵓌
U+F54CD	󵓍
U+F54CE	󵓎
U+F54CF	󵓏
U+F54D0	󵓐
U+F54D1	󵓑
U+F54D2	󵓒
U+F54D3	󵓓
U+F54D4	󵓔
U+F54D5	󵓕
U+F54D6	󵓖
U+F54D7	󵓗
U+F54D8	󵓘
U+F54D9	󵓙
U+F54DA	󵓚
U+F54DB	󵓛
U+F54DC	󵓜
U+F54DD	󵓝
U+F54DE	󵓞
U+F54DF	󵓟
U+F54E0	󵓠
U+F54E1	󵓡
U+F54E2	󵓢
U+F54E2	󵓢
U+F54E4	󵓤
U+F54E5	󵓥
U+F54E6	󵓦
U+F54E7	󵓧
U+F54E8	󵓨
U+F54E9	󵓩
U+F54EA	󵓪
U+F54EB	󵓫
U+F54EC	󵓬
U+F54EE	󵓮
-	-
U+F54F0	󵓰
U+F54EF	󵓯
U+F54F2	󵓲
U+F54F3	󵓳
U+F54F4	󵓴
U+F54F5	󵓵
U+F54F6	󵓶
U+F54F7	󵓷
U+F54F8	󵓸
U+F54F9	󵓹
U+F54F9	󵓹
U+F54F9	󵓹
U+F54FC	󵓼
U+F54FD	󵓽
U+F54FE	󵓾
U+F54FF	󵓿
U+F5500	󵔀
U+F5501	󵔁
U+F5502	󵔂
U+F5503	󵔃
U+F5505	󵔅
U+F5506	󵔆
U+F5507	󵔇
U+F5508	󵔈
U+F5509	󵔉
U+F550A	󵔊
U+F550B	󵔋
U+F550C	󵔌
U+F550D	󵔍
U+F550E	󵔎
U+F550F	󵔏
U+F5510	󵔐
U+F5511	󵔑
U+F5512	󵔒
U+F5513	󵔓
U+F5514	󵔔
U+F5515	󵔕
U+F5516	󵔖
U+F5517	󵔗
U+F5519	󵔙
U+F551A	󵔚
U+F551B	󵔛
U+F551C	󵔜
U+F551D	󵔝
-	-
U+F551F	󵔟
U+F5520	󵔠
U+F5521	󵔡
U+F5522	󵔢
U+F5523	󵔣
U+F5524	󵔤
U+F5525	󵔥
U+F5526	󵔦
U+F5527	󵔧
U+F5528	󵔨
U+F5529	󵔩
U+F552A	󵔪
U+F552B	󵔫
U+F552B	󵔫
U+F552D	󵔭
U+F552E	󵔮
U+F552F	󵔯
U+F5530	󵔰
U+F5531	󵔱
U+F5532	󵔲
U+F5533	󵔳
U+F5534	󵔴
U+F5535	󵔵
U+F5536	󵔶
U+F5537	󵔷
U+F5538	󵔸
U+F5539	󵔹
U+F553A	󵔺
U+F553B	󵔻
U+F553C	󵔼
U+F553D	󵔽
U+F553E	󵔾
U+F553F	󵔿
U+F5540	󵕀
U+F5541	󵕁
U+F5542	󵕂
U+F5543	󵕃
U+F5544	󵕄
U+F5545	󵕅
U+F5546	󵕆
U+F5547	󵕇
U+F5548	󵕈
U+F554A	󵕊
U+F554B	󵕋
U+F554C	󵕌
U+F554D	󵕍
U+F554E	󵕎
U+F554F	󵕏
U+F5550	󵕐
U+F5551	󵕑
U+F5552	󵕒
U+F5553	󵕓
U+F5554	󵕔
U+F5555	󵕕
U+F5556	󵕖
U+F5557	󵕗
U+F5558	󵕘
U+F5559	󵕙
U+F555A	󵕚
U+F555B	󵕛
U+F555C	󵕜
U+F555D	󵕝
U+F555E	󵕞
U+F555F	󵕟
U+F5560	󵕠
U+F5561	󵕡
U+F5562	󵕢
U+F5563	󵕣
U+F5564	󵕤
U+F5565	󵕥
U+F5566	󵕦
U+F5567	󵕧
U+F5568	󵕨
U+F5569	󵕩
U+F5569	󵕩
U+F556B	󵕫
U+F556B	󵕫
U+F556D	󵕭
U+F556E	󵕮
