@label	LAK
@title	Oracc LAK font
@page	/osl/Fonts/Oracc-LAK/
@font	Oracc-LAK.ttf
@css	ofs-lak
@mag	110
@list	LAK
o0000228	U+12128	LAK
o0000232	U+12129	LAK
o0000234	U+1212A	LAK
o0000233	U+1212B	LAK
o0000236	U+1212C	LAK
o0000237	U+1212D	LAK
o0001447	U+1212E	LAK
o0001452	U+1212F	LAK
o0001452	U+1212F	LAK
o0001453	U+12130	LAK
o0001462	U+12134	LAK
o0001464	U+12135	LAK
o0028114	U+12136	LAK
o0028114	U+12136	LAK
o0028114	U+12136	LAK
o0028114	U+12136	LAK
o0028114	U+12136	LAK
o0000239	U+12137	LAK
o0000240	U+12138	LAK
o0001473	U+12139	LAK
o0001475	U+1213B	LAK
o0001477	U+1213D	LAK
o0000241	U+1213E	LAK
o0000242	U+1213F	LAK
o0000244	U+12141	LAK
o0000245	U+12142	LAK
o0000245	U+12142	LAK
o0000246	U+12145	LAK
o0000247	U+12146	LAK
o0000247	U+12146	LAK
o0001487	U+12147	LAK
o0001510	U+12148	LAK
o0000248	U+1214A	LAK
o0000248	U+1214A	LAK
o0000249	U+1214B	LAK
o0000249	U+1214B	LAK
o0000252	U+1214D	LAK
o0000254	U+1214E	LAK
o0001549	U+1214F	LAK
o0000256	U+12154	LAK
o0000257	U+12155	LAK
o0000259	U+12156	LAK
o0000260	U+12157	LAK
o0001611	U+12158	LAK
o0001626	U+12164	LAK
o0001627	U+12165	LAK
o0001630	U+12168	LAK
o0001638	U+1216E	LAK
o0001648	U+12174	LAK
o0001656	U+1217E	LAK
o0001655	U+1217F	LAK
o0001674	U+12181	LAK
o0001676	U+12183	LAK
o0001666	U+12187	LAK
o0001668	U+12188	LAK
o0001671	U+1218C	LAK
o0000277	U+1218D	LAK
o0000263	U+1218F	LAK
o0000263	U+1218F	LAK
o0000267	U+12192	LAK
o0000268	U+12193	LAK
o0000269	U+12195	LAK
o0000269	U+12195	LAK
o0000273	U+1219B	LAK
o0000273	U+1219B	LAK
o0000275	U+1219C	LAK
o0000278	U+1219F	LAK
o0000279	U+121A0	LAK
o0000281	U+121A4	LAK
o0000282	U+121A5	LAK
o0000284	U+121A6	LAK
o0000284	U+121A6	LAK
o0000286	U+121A7	LAK
o0000296	U+121AC	LAK
o0000296	U+121AC	LAK
o0000298	U+121AE	LAK
o0000299	U+121AF	LAK
o0000299	U+121AF	LAK
o0000291	U+121B0	LAK
o0000293	U+121B2	LAK
o0000293	U+121B2	LAK
o0000294	U+121B3	LAK
o0000294	U+121B3	LAK
o0000295	U+121B5	LAK
o0000305	U+121B7	LAK
o0000305	U+121B7	LAK
o0000305	U+121B7	LAK
o0000305	U+121B7	LAK
o0000305	U+121B7	LAK
o0000306	U+121B8	LAK
o0001800	U+121B9	LAK
o0001800	U+121B9	LAK
o0001799	U+121BE	LAK
o0001778	U+121C7	LAK
o0001814	U+121C9	LAK
o0001817	U+121CB	LAK
o0001832	U+121E1	LAK
o0001838	U+121E5	LAK
o0000307	U+121EC	LAK
o0001853	U+121ED	LAK
o0000308	U+121EF	LAK
o0000308	U+121EF	LAK
o0000309	U+121F1	LAK
o0000422	U+121F2	LAK
o0000422	U+121F2	LAK
o0000423	U+121F3	LAK
o0000424	U+121F4	LAK
o0001906	U+121F5	LAK
o0000425	U+121F7	LAK
o0000426	U+121F8	LAK
o0000431	U+121FA	LAK
o0000431	U+121FA	LAK
o0000433	U+121FB	LAK
o0000439	U+121FD	LAK
o0001967	U+121FF	LAK
o0000443	U+12216	LAK
o0000434	U+12217	LAK
o0000435	U+1221A	LAK
o0000436	U+1221B	LAK
o0000437	U+1221C	LAK
o0000437	U+1221C	LAK
o0000438	U+1221D	LAK
o0000444	U+12220	LAK
o0000445	U+12222	LAK
o0000452	U+12223	LAK
o0000452	U+12223	LAK
o0000452	U+12223	LAK
o0000452	U+12223	LAK
o0000452	U+12223	LAK
o0000452	U+12223	LAK
o0000452	U+12223	LAK
o0000446	U+12224	LAK
o0000448	U+12225	LAK
o0000449	U+12226	LAK
o0000449	U+12226	LAK
o0000451	U+12227	LAK
o0000453	U+12228	LAK
o0000453	U+12228	LAK
o0000454	U+12229	LAK
o0000455	U+1222A	LAK
o0000456	U+1222B	LAK
o0000456	U+1222B	LAK
o0000457	U+1222C	LAK
o0002016	U+1222D	LAK
o0000458	U+1222E	LAK
o0000463	U+12232	LAK
o0002021	U+12238	LAK
o0000466	U+12239	LAK
o0000466	U+12239	LAK
o0000466	U+12239	LAK
o0000466	U+12239	LAK
o0000466	U+12239	LAK
o0000467	U+1223D	LAK
o0000469	U+1223E	LAK
o0000476	U+1223F	LAK
o0000476	U+1223F	LAK
o0000476	U+1223F	LAK
o0000476	U+1223F	LAK
o0000476	U+1223F	LAK
o0000470	U+12240	LAK
o0000473	U+12244	LAK
o0000130	U+12245	LAK
o0000130	U+12245	LAK
o0000474	U+12246	LAK
o0000475	U+12247	LAK
o0000475	U+12247	LAK
o0000477	U+12248	LAK
o0000479	U+1224C	LAK
o0000486	U+1224E	LAK
o0000482	U+1224F	LAK
o0000482	U+1224F	LAK
o0002081	U+12250	LAK
o0000483	U+12252	LAK
o0002102	U+12256	LAK
o0002109	U+12258	LAK
o0002118	U+1225A	LAK
o0002118	U+1225A	LAK
o0000485	U+12260	LAK
o0000485	U+12260	LAK
o0000485	U+12260	LAK
o0000485	U+12260	LAK
o0000485	U+12260	LAK
o0000487	U+12261	LAK
o0000491	U+12262	LAK
o0000488	U+12263	LAK
o0000488	U+12263	LAK
o0002123	U+1226A	LAK
o0000490	U+1226D	LAK
o0000490	U+1226D	LAK
o0002146	U+1226E	LAK
o0000497	U+1227A	LAK
o0000497	U+1227A	LAK
o0000497	U+1227A	LAK
o0000497	U+1227A	LAK
o0000497	U+1227A	LAK
o0000498	U+1227B	LAK
o0000499	U+1227C	LAK
o0000500	U+1227D	LAK
o0000501	U+1227E	LAK
o0000502	U+1227F	LAK
o0000502	U+1227F	LAK
o0000503	U+1228A	LAK
o0002244	U+1228C	LAK
o0002245	U+1228D	LAK
o0000510	U+1228F	LAK
o0000514	U+12291	LAK
o0000516	U+12292	LAK
o0000517	U+12293	LAK
o0000518	U+12295	LAK
o0002274	U+12297	LAK
o0002277	U+12299	LAK
o0002279	U+1229A	LAK
o0000519	U+122A8	LAK
o0000519	U+122A8	LAK
o0000522	U+122A9	LAK
o0000523	U+122AB	LAK
o0000523	U+122AB	LAK
o0000524	U+122AC	LAK
o0002824	U+122AD	LAK
o0002828	U+122AE	LAK
o0002828	U+122AE	LAK
o0002828	U+122AE	LAK
o0002828	U+122AE	LAK
o0002828	U+122AE	LAK
o0002828	U+122AE	LAK
o0002828	U+122AE	LAK
o0002829	U+122B7	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002827	U+122B9	LAK
o0002831	U+122BA	LAK
o0002714	U+122BB	LAK
o0002714	U+122BB	LAK
o0002832	U+122BE	LAK
o0002833	U+122BF	LAK
o0002834	U+122C0	LAK
o0002836	U+122C1	LAK
o0002837	U+122C3	LAK
o0002743	U+122C4	LAK
o0002838	U+122C6	LAK
o0002752	U+122CB	LAK
o0002753	U+122CD	LAK
o0002755	U+122CE	LAK
o0002840	U+122D3	LAK
o0002842	U+122D6	LAK
o0002845	U+122D7	LAK
o0002845	U+122D7	LAK
o0002845	U+122D7	LAK
o0002845	U+122D7	LAK
o0002845	U+122D7	LAK
o0002850	U+122D9	LAK
o0002848	U+122DA	LAK
o0000525	U+122DB	LAK
o0000526	U+122DC	LAK
o0000526	U+122DC	LAK
o0000527	U+122DD	LAK
o0000528	U+122DE	LAK
o0000529	U+122E0	LAK
o0000530	U+122E1	LAK
o0000531	U+122E2	LAK
o0000531	U+122E2	LAK
o0000534	U+122E5	LAK
o0000535	U+122E6	LAK
o0000536	U+122E7	LAK
o0000537	U+122E8	LAK
o0000539	U+122E9	LAK
o0000539	U+122E9	LAK
o0000541	U+122EB	LAK
o0000541	U+122EB	LAK
o0000541	U+122EB	LAK
o0000541	U+122EB	LAK
o0000541	U+122EB	LAK
o0002407	U+122ED	LAK
o0000542	U+122EF	LAK
o0000544	U+122F0	LAK
o0000546	U+122F3	LAK
o0000547	U+122FA	LAK
o0000548	U+122FB	LAK
o0000548	U+122FB	LAK
o0000550	U+122FC	LAK
o0000551	U+122FD	LAK
o0000553	U+122FE	LAK
o0000555	U+12300	LAK
o0002726	U+12301	LAK
o0000556	U+12305	LAK
o0000558	U+12307	LAK
o0000559	U+12308	LAK
o0000560	U+12309	LAK
o0000560	U+12309	LAK
o0000560	U+12309	LAK
o0000560	U+12309	LAK
o0000560	U+12309	LAK
o0000561	U+1230B	LAK
o0002459	U+1230C	LAK
o0002459	U+1230C	LAK
o0002441	U+1230E	LAK
o0002442	U+1230F	LAK
o0000599	U+12311	LAK
o0000599	U+12311	LAK
o0000564	U+12312	LAK
o0000565	U+12313	LAK
o0000565	U+12313	LAK
o0000565	U+12313	LAK
o0000565	U+12313	LAK
o0000565	U+12313	LAK
o0002500	U+12314	LAK
o0038409	U+12319	LAK
o0002516	U+1231B	LAK
o0000572	U+12322	LAK
o0000573	U+12323	LAK
o0002530	U+12325	LAK
o0000575	U+12326	LAK
o0000574	U+12327	LAK
o0000576	U+12328	LAK
o0000576	U+12328	LAK
o0000585	U+1232B	LAK
o0002597	U+12331	LAK
o0000588	U+12334	LAK
o0000579	U+12335	LAK
o0000581	U+12336	LAK
o0000582	U+12337	LAK
o0002553	U+12338	LAK
o0002554	U+12339	LAK
o0002555	U+1233A	LAK
o0002557	U+1233B	LAK
o0002561	U+1233E	LAK
o0002562	U+1233F	LAK
o0002564	U+12340	LAK
o0002568	U+12344	LAK
o0002574	U+1234A	LAK
o0002577	U+1234D	LAK
o0000584	U+1234F	LAK
o0000584	U+1234F	LAK
o0000595	U+12351	LAK
o0002617	U+12355	LAK
o0000597	U+12356	LAK
o0000594	U+1235A	LAK
o0000592	U+1235C	LAK
o0000603	U+1235D	LAK
o0000605	U+12360	LAK
o0000608	U+12362	LAK
o0000609	U+12363	LAK
o0002666	U+12364	LAK
o0000614	U+1236A	LAK
o0000614	U+1236A	LAK
o0000618	U+1236B	LAK
o0000617	U+1236E	LAK
o0000212	U+1237C	LAK
o0001957	U+12389	LAK
o0002079	U+1238E	LAK
o0002323	U+1238F	LAK
o0000034	U+12402	LAK
o0000040	U+12409	LAK
o0000007	U+12415	LAK
o0000007	U+12415	LAK
o0000006	U+1241E	LAK
o0000006	U+1241E	LAK
o0000006	U+1241E	LAK
o0000006	U+1241E	LAK
o0000006	U+1241E	LAK
o0000562	U+12434	LAK
o0000562	U+12434	LAK
o0000061	U+12440	LAK
o0000010	U+1244A	LAK
o0000021	U+1244B	LAK
o0000048	U+1244D	LAK
o0000003	U+1244F	LAK
o0000003	U+1244F	LAK
o0000481	U+12456	LAK
o0000480	U+12457	LAK
o0000283	U+1245C	LAK
o0000181	U+1245D	LAK
o0000181	U+1245D	LAK
o0000181	U+1245D	LAK
o0000181	U+1245D	LAK
o0000181	U+1245D	LAK
o0000182	U+1245E	LAK
o0000183	U+1245F	LAK
o0000184	U+12460	LAK
o0000753	U+12480	LAK
o0000756	U+12481	LAK
o0000897	U+12483	LAK
o0000898	U+12484	LAK
o0000899	U+12485	LAK
o0000900	U+12486	LAK
o0000971	U+12488	LAK
o0000969	U+12489	LAK
o0000976	U+1248A	LAK
o0001009	U+1248D	LAK
o0001011	U+1248E	LAK
o0001010	U+1248F	LAK
o0001012	U+12490	LAK
o0001013	U+12491	LAK
o0001014	U+12492	LAK
o0001015	U+12493	LAK
o0001017	U+12494	LAK
o0001016	U+12495	LAK
o0001018	U+12496	LAK
o0001018	U+12496	LAK
o0001019	U+12497	LAK
o0001020	U+12498	LAK
o0001021	U+12499	LAK
o0001022	U+1249A	LAK
o0001023	U+1249B	LAK
o0001006	U+1249D	LAK
o0001025	U+1249E	LAK
o0001026	U+1249F	LAK
o0001007	U+124A0	LAK
o0001008	U+124A1	LAK
o0001027	U+124A2	LAK
o0001028	U+124A3	LAK
o0001029	U+124A4	LAK
o0001030	U+124A5	LAK
o0001031	U+124A6	LAK
o0001033	U+124A7	LAK
o0001032	U+124A8	LAK
o0001157	U+124A9	LAK
o0001159	U+124AA	LAK
o0001124	U+124AC	LAK
o0001289	U+124B6	LAK
o0001293	U+124B7	LAK
o0001254	U+124B8	LAK
o0001255	U+124B9	LAK
o0001304	U+124BB	LAK
o0001258	U+124BC	LAK
o0001259	U+124BD	LAK
o0001268	U+124BF	LAK
o0001313	U+124C0	LAK
o0001270	U+124C1	LAK
o0001315	U+124C2	LAK
o0001317	U+124C3	LAK
o0001318	U+124C4	LAK
o0001272	U+124C5	LAK
o0001273	U+124C6	LAK
o0001332	U+124C7	LAK
o0001329	U+124C8	LAK
o0001334	U+124CA	LAK
o0001405	U+124CB	LAK
o0001429	U+124CC	LAK
o0001418	U+124CD	LAK
o0000235	U+124CE	LAK
o0000624	U+124CF	LAK
o0001605	U+124D2	LAK
o0001790	U+124D4	LAK
o0000349	U+124D5	LAK
o0000322	U+124D6	LAK
o0000338	U+124D7	LAK
o0000350	U+124D8	LAK
o0000390	U+124D9	LAK
o0031506	U+124DA	LAK
o0018530	U+124DB	LAK
o0000418	U+124DD	LAK
o0000421	U+124DF	LAK
o0000314	U+124E0	LAK
o0000316	U+124E1	LAK
o0000323	U+124E2	LAK
o0000326	U+124E3	LAK
o0000327	U+124E4	LAK
o0000329	U+124E5	LAK
o0000330	U+124E6	LAK
o0000332	U+124E7	LAK
o0000342	U+124E8	LAK
o0000343	U+124E9	LAK
o0000355	U+124EA	LAK
o0000356	U+124EB	LAK
o0000357	U+124EC	LAK
o0000363	U+124ED	LAK
o0000364	U+124EE	LAK
o0000368	U+124EF	LAK
o0000373	U+124F0	LAK
o0001858	U+124F3	LAK
o0001854	U+124F4	LAK
o0001855	U+124F5	LAK
o0001856	U+124F6	LAK
o0000375	U+124F7	LAK
o0000377	U+124F8	LAK
o0000380	U+124F9	LAK
o0000382	U+124FA	LAK
o0000384	U+124FB	LAK
o0000385	U+124FC	LAK
o0000386	U+124FD	LAK
o0000387	U+124FE	LAK
o0000397	U+124FF	LAK
o0000402	U+12500	LAK
o0000403	U+12501	LAK
o0001865	U+12502	LAK
o0001866	U+12503	LAK
o0027210	U+12504	LAK
o0001867	U+12505	LAK
o0001868	U+12506	LAK
o0001870	U+12507	LAK
o0001871	U+12508	LAK
o0001874	U+12509	LAK
o0001872	U+1250A	LAK
o0001873	U+1250B	LAK
o0000405	U+1250C	LAK
o0000408	U+1250D	LAK
o0001877	U+1250E	LAK
o0001878	U+1250F	LAK
o0028113	U+12510	LAK
o0001879	U+12511	LAK
o0001882	U+12512	LAK
o0001875	U+12513	LAK
o0001876	U+12514	LAK
o0001883	U+12515	LAK
o0001884	U+12516	LAK
o0001884	U+12516	LAK
o0000411	U+12517	LAK
o0000415	U+12518	LAK
o0001955	U+12519	LAK
o0001968	U+1251A	LAK
o0001961	U+1251D	LAK
o0001984	U+1251E	LAK
o0002015	U+1251F	LAK
o0002098	U+12522	LAK
o0002101	U+12523	LAK
o0002103	U+12524	LAK
o0002104	U+12525	LAK
o0002105	U+12526	LAK
o0002106	U+12527	LAK
o0002107	U+12528	LAK
o0002086	U+12529	LAK
o0002112	U+1252C	LAK
o0002271	U+1252D	LAK
o0002276	U+1252E	LAK
o0002709	U+12532	LAK
o0000634	U+12533	LAK
o0002335	U+12535	LAK
o0002815	U+12536	LAK
o0002807	U+12537	LAK
o0002365	U+12538	LAK
o0002285	U+12539	LAK
o0002428	U+1253B	LAK
o0002596	U+1253D	LAK
o0002556	U+1253E	LAK
o0002570	U+1253F	LAK
o0000607	U+12541	LAK
o0002673	U+12542	LAK
o0002679	U+12543	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0221914	U+12550	LAK
o0223336	U+12559	LAK
o0223336	U+12559	LAK
o0223336	U+12559	LAK
o0223336	U+12559	LAK
o0223336	U+12559	LAK
o0223340	U+1255A	LAK
o0223339	U+1255B	LAK
o0223415	U+1255C	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
o0223334	U+12562	LAK
