@label	oCC
@font	/home/oracc/www/fonts/Cuneiform-Classic-final.ttf
@css	ofs-cc
o0000955	U+1205D	oCC
o0000954	U+1205E	oCC
o0000956	U+1205F	oCC
o0000957	U+12060	oCC
o0000958	U+12061	oCC
o0000945	U+12062	oCC
o0000959	U+12063	oCC
o0000960	U+12064	oCC
o0000962	U+12065	oCC
o0000946	U+12066	oCC
o0000961	U+12067	oCC
o0000963	U+12068	oCC
o0000947	U+12069	oCC
o0000964	U+1206A	oCC
o0000965	U+1206B	oCC
o0000948	U+1206C	oCC
o0000967	U+1206D	oCC
o0000134	U+1206E	oCC
o0000135	U+1206F	oCC
o0000136	U+12070	oCC
o0000137	U+12071	oCC
o0000139	U+12072	oCC
o0000140	U+12073	oCC
o0000141	U+12074	oCC
o0000978	U+12075	oCC
o0000143	U+12076	oCC
o0000144	U+12077	oCC
o0000981	U+12078	oCC
o0000145	U+12079	oCC
o0000149	U+1207A	oCC
o0000989	U+1207B	oCC
o0000150	U+1207C	oCC
o0000152	U+1207D	oCC
o0000153	U+1207E	oCC
o0000154	U+12080	oCC
o0000155	U+12081	oCC
o0000156	U+12082	oCC
o0000157	U+12083	oCC
o0000158	U+12084	oCC
o0000160	U+12085	oCC
o0000161	U+12086	oCC
o0000162	U+12087	oCC
o0000164	U+12088	oCC
o0000165	U+12089	oCC
o0000166	U+1208A	oCC
o0001123	U+1208B	oCC
o0001040	U+1208C	oCC
o0000180	U+1208D	oCC
o0001154	U+1208E	oCC
o0001156	U+1208F	oCC
o0001158	U+12090	oCC
o0001160	U+12091	oCC
o0001162	U+12092	oCC
o0001161	U+12093	oCC
o0000167	U+12094	oCC
o0000168	U+12095	oCC
o0000170	U+12096	oCC
o0000173	U+12097	oCC
o0001079	U+12098	oCC
o0001078	U+12099	oCC
o0001083	U+1209A	oCC
o0001048	U+1209B	oCC
o0001077	U+1209C	oCC
o0000646	U+1209D	oCC
o0000174	U+1209E	oCC
o0000175	U+1209F	oCC
o0000178	U+120A0	oCC
o0000177	U+120A1	oCC
o0001102	U+120A2	oCC
o0001099	U+120A3	oCC
o0001100	U+120A4	oCC
o0001101	U+120A5	oCC
o0001104	U+120A6	oCC
o0001106	U+120A7	oCC
o0001105	U+120A8	oCC
o0001109	U+120A9	oCC
o0001108	U+120AA	oCC
o0001110	U+120AB	oCC
o0001111	U+120AC	oCC
o0000644	U+120AD	oCC
o0001112	U+120AE	oCC
o0001114	U+120AF	oCC
o0001113	U+120B0	oCC
o0001115	U+120B1	oCC
o0001116	U+120B2	oCC
o0001119	U+120B3	oCC
o0001118	U+120B4	oCC
o0000187	U+120B5	oCC
o0000188	U+120B6	oCC
o0000206	U+120B7	oCC
o0001246	U+120B8	oCC
o0001248	U+120B9	oCC
o0001249	U+120BA	oCC
o0001250	U+120BB	oCC
o0001286	U+120BC	oCC
o0001287	U+120BD	oCC
o0001251	U+120BE	oCC
o0001288	U+120BF	oCC
o0001252	U+120C0	oCC
o0001291	U+120C1	oCC
o0001253	U+120C2	oCC
o0001292	U+120C3	oCC
o0001295	U+120C4	oCC
o0001294	U+120C5	oCC
o0001296	U+120C6	oCC
o0001297	U+120C7	oCC
o0001256	U+120C8	oCC
o0001299	U+120C9	oCC
o0001300	U+120CA	oCC
o0001302	U+120CB	oCC
o0001303	U+120CC	oCC
o0001305	U+120CD	oCC
o0001306	U+120CE	oCC
o0001261	U+120CF	oCC
o0001260	U+120D0	oCC
o0001263	U+120D1	oCC
o0001307	U+120D2	oCC
o0001264	U+120D3	oCC
o0001265	U+120D4	oCC
o0001308	U+120D5	oCC
o0001309	U+120D6	oCC
o0001266	U+120D7	oCC
o0001310	U+120D8	oCC
o0001311	U+120D9	oCC
o0001312	U+120DA	oCC
o0001267	U+120DB	oCC
o0001269	U+120DC	oCC
o0001314	U+120DD	oCC
o0001271	U+120DE	oCC
o0001316	U+120DF	oCC
o0001320	U+120E0	oCC
