@label	oCC
@font	/home/oracc/www/fonts/Cuneiform-Classic-final.ttf
@css	ofs-cc
o0000063	U+1241A	oCC
o0000071	U+1241B	oCC
o0000076	U+1241C	oCC
o0000084	U+1241D	oCC
o0000006	U+1241E	oCC
o0000016	U+1241F	oCC
o0000028	U+12420	oCC
o0000041	U+12421	oCC
o0000053	U+12422	oCC
o0000019	U+12423	oCC
o0000032	U+12424	oCC
o0000033	U+12425	oCC
o0000046	U+12426	oCC
o0000058	U+12427	oCC
o0000065	U+12428	oCC
o0000073	U+12429	oCC
o0000078	U+1242A	oCC
o0000086	U+1242B	oCC
o0000008	U+1242C	oCC
o0000018	U+1242D	oCC
o0000030	U+1242E	oCC
o0000031	U+1242F	oCC
o0000045	U+12430	oCC
o0000057	U+12431	oCC
o0002681	U+12432	oCC
o0002682	U+12433	oCC
o0000562	U+12434	oCC
o0000012	U+12435	oCC
o0000025	U+12436	oCC
o0000026	U+12437	oCC
o0000039	U+12438	oCC
o0000051	U+12439	oCC
o0000023	U+1243B	oCC
o0000427	U+1243C	oCC
o0000036	U+1243D	oCC
o0000428	U+1243E	oCC
o0000429	U+1243F	oCC
o0000061	U+12440	oCC
o0000067	U+12441	oCC
o0025651	U+12442	oCC
o0025653	U+12443	oCC
o0000589	U+12444	oCC
o0000590	U+12445	oCC
o0000250	U+12446	oCC
o0000081	U+12447	oCC
o0000082	U+12448	oCC
o0000083	U+12449	oCC
o0000010	U+1244A	oCC
o0000021	U+1244B	oCC
o0000035	U+1244C	oCC
o0000048	U+1244D	oCC
o0000060	U+1244E	oCC
o0000003	U+1244F	oCC
o0000011	U+12450	oCC
o0000024	U+12451	oCC
o0000037	U+12452	oCC
o0000038	U+12453	oCC
o0000049	U+12454	oCC
o0000050	U+12455	oCC
o0000481	U+12456	oCC
o0000480	U+12457	oCC
o0000005	U+12458	oCC
o0000015	U+12459	oCC
o0002849	U+1245A	oCC
o0002826	U+1245B	oCC
o0000283	U+1245C	oCC
o0000181	U+1245D	oCC
o0000182	U+1245E	oCC
o0000183	U+1245F	oCC
o0000184	U+12460	oCC
o0000185	U+12461	oCC
o0000186	U+12462	oCC
o0031991	U+12463	oCC
o0031987	U+12464	oCC
o0031989	U+12465	oCC
o0031992	U+12466	oCC
o0000044	U+12467	oCC
o0000056	U+12468	oCC
o0031993	U+12469	oCC
o0031995	U+1246A	oCC
o0031997	U+1246B	oCC
o0031999	U+1246C	oCC
o0032001	U+1246D	oCC
o0032003	U+1246E	oCC
o0000505	U+12470	oCC
o0000506	U+12471	oCC
o0000507	U+12472	oCC
o0000508	U+12473	oCC
o0000509	U+12474	oCC
o0000753	U+12480	oCC
o0000756	U+12481	oCC
o0000775	U+12482	oCC
o0000897	U+12483	oCC
o0000898	U+12484	oCC
o0000899	U+12485	oCC
o0000900	U+12486	oCC
o0000622	U+12487	oCC
o0000971	U+12488	oCC
o0000969	U+12489	oCC
o0000976	U+1248A	oCC
o0000975	U+1248B	oCC
o0000979	U+1248C	oCC
o0001009	U+1248D	oCC
o0001011	U+1248E	oCC
o0001010	U+1248F	oCC
o0001012	U+12490	oCC
o0001013	U+12491	oCC
o0001014	U+12492	oCC
o0001015	U+12493	oCC
o0001017	U+12494	oCC
o0001016	U+12495	oCC
o0001018	U+12496	oCC
o0001019	U+12497	oCC
o0001020	U+12498	oCC
o0001021	U+12499	oCC
o0001022	U+1249A	oCC
o0001023	U+1249B	oCC
o0001024	U+1249C	oCC
o0001006	U+1249D	oCC
o0001025	U+1249E	oCC
o0001026	U+1249F	oCC
o0001007	U+124A0	oCC
o0001008	U+124A1	oCC
o0001027	U+124A2	oCC
o0001028	U+124A3	oCC
o0001029	U+124A4	oCC
o0001030	U+124A5	oCC
o0001031	U+124A6	oCC
o0001033	U+124A7	oCC
o0001032	U+124A8	oCC
o0001157	U+124A9	oCC
o0001159	U+124AA	oCC
o0001086	U+124AB	oCC
o0001124	U+124AC	oCC
o0001091	U+124AD	oCC
o0001092	U+124AE	oCC
o0001093	U+124AF	oCC
o0001095	U+124B0	oCC
o0001094	U+124B1	oCC
o0001097	U+124B2	oCC
o0001096	U+124B3	oCC
o0001098	U+124B4	oCC
o0001117	U+124B5	oCC
o0001289	U+124B6	oCC
o0001293	U+124B7	oCC
o0001254	U+124B8	oCC
o0001255	U+124B9	oCC
o0001301	U+124BA	oCC
o0001304	U+124BB	oCC
o0001258	U+124BC	oCC
o0001259	U+124BD	oCC
o0001262	U+124BE	oCC
o0001268	U+124BF	oCC
o0001313	U+124C0	oCC
o0001270	U+124C1	oCC
o0001315	U+124C2	oCC
o0001317	U+124C3	oCC
o0001318	U+124C4	oCC
o0001272	U+124C5	oCC
o0001273	U+124C6	oCC
o0001332	U+124C7	oCC
o0001329	U+124C8	oCC
o0000191	U+124C9	oCC
o0001334	U+124CA	oCC
o0001405	U+124CB	oCC
o0001429	U+124CC	oCC
o0001418	U+124CD	oCC
o0000235	U+124CE	oCC
o0000624	U+124CF	oCC
o0001617	U+124D0	oCC
o0001640	U+124D1	oCC
o0001605	U+124D2	oCC
o0001664	U+124D3	oCC
o0001790	U+124D4	oCC
o0000349	U+124D5	oCC
o0000322	U+124D6	oCC
o0000338	U+124D7	oCC
o0000350	U+124D8	oCC
o0000390	U+124D9	oCC
o0031506	U+124DA	oCC
o0018530	U+124DB	oCC
o0025789	U+124DC	oCC
o0000418	U+124DD	oCC
o0001886	U+124DE	oCC
o0000421	U+124DF	oCC
o0000314	U+124E0	oCC
o0000316	U+124E1	oCC
o0000323	U+124E2	oCC
o0000326	U+124E3	oCC
o0000327	U+124E4	oCC
o0000329	U+124E5	oCC
o0000330	U+124E6	oCC
o0000332	U+124E7	oCC
o0000342	U+124E8	oCC
o0000343	U+124E9	oCC
o0000355	U+124EA	oCC
o0000356	U+124EB	oCC
o0000357	U+124EC	oCC
o0000363	U+124ED	oCC
o0000364	U+124EE	oCC
o0000368	U+124EF	oCC
o0000373	U+124F0	oCC
o0000374	U+124F1	oCC
o0001857	U+124F2	oCC
o0001858	U+124F3	oCC
o0001854	U+124F4	oCC
o0001855	U+124F5	oCC
o0001856	U+124F6	oCC
o0000375	U+124F7	oCC
o0000377	U+124F8	oCC
o0000380	U+124F9	oCC
o0000382	U+124FA	oCC
o0000384	U+124FB	oCC
o0000385	U+124FC	oCC
o0000386	U+124FD	oCC
o0000387	U+124FE	oCC
o0000397	U+124FF	oCC
o0000402	U+12500	oCC
o0000403	U+12501	oCC
o0001865	U+12502	oCC
o0001866	U+12503	oCC
o0027210	U+12504	oCC
o0001867	U+12505	oCC
o0001868	U+12506	oCC
o0001870	U+12507	oCC
o0001871	U+12508	oCC
o0001874	U+12509	oCC
o0001872	U+1250A	oCC
o0001873	U+1250B	oCC
o0000405	U+1250C	oCC
o0000408	U+1250D	oCC
o0001877	U+1250E	oCC
o0001878	U+1250F	oCC
o0028113	U+12510	oCC
o0001879	U+12511	oCC
o0001882	U+12512	oCC
o0001875	U+12513	oCC
o0001876	U+12514	oCC
o0001883	U+12515	oCC
o0001884	U+12516	oCC
o0000411	U+12517	oCC
o0000415	U+12518	oCC
o0001955	U+12519	oCC
o0001968	U+1251A	oCC
o0001974	U+1251B	oCC
o0001983	U+1251C	oCC
o0001961	U+1251D	oCC
o0001984	U+1251E	oCC
o0002015	U+1251F	oCC
o0000628	U+12520	oCC
o0000629	U+12521	oCC
o0002098	U+12522	oCC
o0002101	U+12523	oCC
o0002103	U+12524	oCC
o0002104	U+12525	oCC
o0002105	U+12526	oCC
o0002106	U+12527	oCC
o0002107	U+12528	oCC
o0002086	U+12529	oCC
o0002113	U+1252A	oCC
o0002087	U+1252B	oCC
o0002112	U+1252C	oCC
o0002271	U+1252D	oCC
o0002276	U+1252E	oCC
o0001673	U+1252F	oCC
o0002286	U+12530	oCC
o0002830	U+12531	oCC
o0002709	U+12532	oCC
o0000634	U+12533	oCC
o0002733	U+12534	oCC
o0002335	U+12535	oCC
o0002815	U+12536	oCC
o0002807	U+12537	oCC
o0002365	U+12538	oCC
o0002285	U+12539	oCC
o0002429	U+1253A	oCC
o0002428	U+1253B	oCC
o0000587	U+1253C	oCC
o0002596	U+1253D	oCC
o0002556	U+1253E	oCC
o0002570	U+1253F	oCC
o0000583	U+12540	oCC
o0000607	U+12541	oCC
o0002673	U+12542	oCC
o0002679	U+12543	oCC
