@label	RSP
@title	Oracc RSP font
@page	/osl/Fonts/Oracc-RSP/
@font	Oracc-RSP.ttf
@css	ofs-rsp
@mag	110
@list	RSP
o0000132	U+12055	RSP
o0000133	U+12056	RSP
o0000133	U+12056	RSP
o0000133	U+12056	RSP
o0000133	U+12056	RSP
o0000133	U+12056	RSP
o0000133	U+12056	RSP
o0000133	U+12056	RSP
o0000952	U+1205A	RSP
o0000952	U+1205A	RSP
o0000946	U+12066	RSP
o0000134	U+1206E	RSP
o0000134	U+1206E	RSP
o0000135	U+1206F	RSP
o0000135	U+1206F	RSP
o0000135	U+1206F	RSP
o0000135	U+1206F	RSP
o0000135	U+1206F	RSP
o0000136	U+12070	RSP
o0000139	U+12072	RSP
o0000140	U+12073	RSP
o0000978	U+12075	RSP
o0000978	U+12075	RSP
o0000143	U+12076	RSP
o0000143	U+12076	RSP
o0000143	U+12076	RSP
o0000143	U+12076	RSP
o0000143	U+12076	RSP
o0000144	U+12077	RSP
o0000144	U+12077	RSP
o0000145	U+12079	RSP
o0000149	U+1207A	RSP
o0000149	U+1207A	RSP
o0000150	U+1207C	RSP
o0000152	U+1207D	RSP
o0000153	U+1207E	RSP
o0000153	U+1207E	RSP
o0000153	U+1207E	RSP
o0000153	U+1207E	RSP
o0000153	U+1207E	RSP
o0000154	U+12080	RSP
o0000154	U+12080	RSP
o0000155	U+12081	RSP
o0000155	U+12081	RSP
o0000157	U+12083	RSP
o0000157	U+12083	RSP
o0000157	U+12083	RSP
o0000157	U+12083	RSP
o0000157	U+12083	RSP
o0000158	U+12084	RSP
o0000160	U+12085	RSP
o0000161	U+12086	RSP
o0000161	U+12086	RSP
o0000162	U+12087	RSP
o0000162	U+12087	RSP
o0000165	U+12089	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0000166	U+1208A	RSP
o0001123	U+1208B	RSP
o0000180	U+1208D	RSP
o0000180	U+1208D	RSP
o0000180	U+1208D	RSP
o0000180	U+1208D	RSP
o0000180	U+1208D	RSP
o0000180	U+1208D	RSP
o0000180	U+1208D	RSP
o0000167	U+12094	RSP
o0000167	U+12094	RSP
o0000167	U+12094	RSP
o0000167	U+12094	RSP
o0000167	U+12094	RSP
o0000167	U+12094	RSP
o0000167	U+12094	RSP
o0000167	U+12094	RSP
o0000167	U+12094	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000168	U+12095	RSP
o0000170	U+12096	RSP
o0000173	U+12097	RSP
o0000173	U+12097	RSP
o0000174	U+1209E	RSP
o0000174	U+1209E	RSP
o0000174	U+1209E	RSP
o0000174	U+1209E	RSP
o0000174	U+1209E	RSP
o0000175	U+1209F	RSP
o0000175	U+1209F	RSP
o0000178	U+120A0	RSP
o0000178	U+120A0	RSP
o0000178	U+120A0	RSP
o0000178	U+120A0	RSP
o0000178	U+120A0	RSP
o0000178	U+120A0	RSP
o0000178	U+120A0	RSP
o0000177	U+120A1	RSP
o0001104	U+120A6	RSP
o0001104	U+120A6	RSP
o0001104	U+120A6	RSP
o0001104	U+120A6	RSP
o0001104	U+120A6	RSP
o0001104	U+120A6	RSP
o0001104	U+120A6	RSP
o0001104	U+120A6	RSP
o0001104	U+120A6	RSP
o0001114	U+120AF	RSP
o0001114	U+120AF	RSP
o0000187	U+120B5	RSP
o0000188	U+120B6	RSP
o0000206	U+120B7	RSP
o0000206	U+120B7	RSP
o0001286	U+120BC	RSP
o0001299	U+120C9	RSP
o0001299	U+120C9	RSP
o0001299	U+120C9	RSP
o0001299	U+120C9	RSP
o0001299	U+120C9	RSP
o0001299	U+120C9	RSP
o0001299	U+120C9	RSP
o0001305	U+120CD	RSP
o0001320	U+120E0	RSP
o0001320	U+120E0	RSP
o0001319	U+120E1	RSP
o0001319	U+120E1	RSP
o0001319	U+120E1	RSP
o0001319	U+120E1	RSP
o0001319	U+120E1	RSP
o0001319	U+120E1	RSP
o0001319	U+120E1	RSP
o0001321	U+120E2	RSP
o0000190	U+120EE	RSP
o0000193	U+120F0	RSP
o0000194	U+120F2	RSP
o0000195	U+120F4	RSP
o0000195	U+120F4	RSP
o0000196	U+120F5	RSP
o0000197	U+120F6	RSP
o0000197	U+120F6	RSP
o0000199	U+120F7	RSP
o0000199	U+120F7	RSP
o0001217	U+120F9	RSP
o0001217	U+120F9	RSP
o0000202	U+120FB	RSP
o0000204	U+120FC	RSP
o0000204	U+120FC	RSP
o0000208	U+120FE	RSP
o0001333	U+120FF	RSP
o0001333	U+120FF	RSP
o0000210	U+12100	RSP
o0000210	U+12100	RSP
o0001335	U+12103	RSP
o0001335	U+12103	RSP
o0000219	U+12104	RSP
o0001409	U+12105	RSP
o0001409	U+12105	RSP
o0000213	U+12108	RSP
o0000214	U+12109	RSP
o0000215	U+1210A	RSP
o0001349	U+1210B	RSP
o0001351	U+1210C	RSP
o0000216	U+12110	RSP
o0000216	U+12110	RSP
o0000216	U+12110	RSP
o0000216	U+12110	RSP
o0000216	U+12110	RSP
o0000216	U+12110	RSP
o0000216	U+12110	RSP
o0000216	U+12110	RSP
o0000216	U+12110	RSP
o0000217	U+12111	RSP
o0000221	U+12116	RSP
o0000221	U+12116	RSP
o0000221	U+12116	RSP
o0000221	U+12116	RSP
o0000221	U+12116	RSP
o0000230	U+12118	RSP
o0000230	U+12118	RSP
o0001431	U+12119	RSP
o0001431	U+12119	RSP
o0001431	U+12119	RSP
o0001431	U+12119	RSP
o0001431	U+12119	RSP
o0001433	U+1211B	RSP
o0000222	U+1211E	RSP
o0001422	U+12120	RSP
o0001422	U+12120	RSP
o0001422	U+12120	RSP
o0001422	U+12120	RSP
o0001422	U+12120	RSP
o0000224	U+12122	RSP
o0000224	U+12122	RSP
o0000225	U+12123	RSP
o0001424	U+12124	RSP
o0000226	U+12125	RSP
o0000226	U+12125	RSP
o0000229	U+12126	RSP
o0000229	U+12126	RSP
o0000229	U+12126	RSP
o0000229	U+12126	RSP
o0000229	U+12126	RSP
o0000229	U+12126	RSP
o0000229	U+12126	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000232	U+12129	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000233	U+1212B	RSP
o0000236	U+1212C	RSP
o0000237	U+1212D	RSP
o0001452	U+1212F	RSP
o0001453	U+12130	RSP
o0000239	U+12137	RSP
o0000239	U+12137	RSP
o0001477	U+1213D	RSP
o0000241	U+1213E	RSP
o0000241	U+1213E	RSP
o0000244	U+12141	RSP
o0000244	U+12141	RSP
o0000245	U+12142	RSP
o0000245	U+12142	RSP
o0000245	U+12142	RSP
o0000245	U+12142	RSP
o0000245	U+12142	RSP
o0000246	U+12145	RSP
o0000246	U+12145	RSP
o0000246	U+12145	RSP
o0000246	U+12145	RSP
o0000246	U+12145	RSP
o0000247	U+12146	RSP
o0000247	U+12146	RSP
o0000247	U+12146	RSP
o0000247	U+12146	RSP
o0000247	U+12146	RSP
o0000247	U+12146	RSP
o0000247	U+12146	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0001487	U+12147	RSP
o0000248	U+1214A	RSP
o0000248	U+1214A	RSP
o0000248	U+1214A	RSP
o0000248	U+1214A	RSP
o0000248	U+1214A	RSP
o0000248	U+1214A	RSP
o0000248	U+1214A	RSP
o0000249	U+1214B	RSP
o0000252	U+1214D	RSP
o0000252	U+1214D	RSP
o0000254	U+1214E	RSP
o0000254	U+1214E	RSP
o0001549	U+1214F	RSP
o0000257	U+12155	RSP
o0000257	U+12155	RSP
o0000259	U+12156	RSP
o0000259	U+12156	RSP
o0000260	U+12157	RSP
o0001611	U+12158	RSP
o0001627	U+12165	RSP
o0001638	U+1216E	RSP
o0001648	U+12174	RSP
o0001655	U+1217F	RSP
o0001674	U+12181	RSP
o0001676	U+12183	RSP
o0001668	U+12188	RSP
o0000277	U+1218D	RSP
o0000277	U+1218D	RSP
o0000277	U+1218D	RSP
o0000277	U+1218D	RSP
o0000277	U+1218D	RSP
o0000277	U+1218D	RSP
o0000277	U+1218D	RSP
o0000267	U+12192	RSP
o0000269	U+12195	RSP
o0000270	U+12197	RSP
o0000270	U+12197	RSP
o0000270	U+12197	RSP
o0000270	U+12197	RSP
o0000270	U+12197	RSP
o0000270	U+12197	RSP
o0000270	U+12197	RSP
o0000275	U+1219C	RSP
o0000278	U+1219F	RSP
o0000278	U+1219F	RSP
o0000279	U+121A0	RSP
o0000279	U+121A0	RSP
o0000279	U+121A0	RSP
o0000279	U+121A0	RSP
o0000279	U+121A0	RSP
o0000279	U+121A0	RSP
o0000279	U+121A0	RSP
o0000281	U+121A4	RSP
o0000281	U+121A4	RSP
o0000281	U+121A4	RSP
o0000281	U+121A4	RSP
o0000281	U+121A4	RSP
o0000281	U+121A4	RSP
o0000281	U+121A4	RSP
o0000281	U+121A4	RSP
o0000281	U+121A4	RSP
o0000282	U+121A5	RSP
o0000282	U+121A5	RSP
o0000282	U+121A5	RSP
o0000282	U+121A5	RSP
o0000282	U+121A5	RSP
o0000284	U+121A6	RSP
o0000289	U+121AA	RSP
o0000296	U+121AC	RSP
o0000296	U+121AC	RSP
o0000299	U+121AF	RSP
o0000291	U+121B0	RSP
o0000293	U+121B2	RSP
o0000293	U+121B2	RSP
o0000293	U+121B2	RSP
o0000293	U+121B2	RSP
o0000293	U+121B2	RSP
o0000293	U+121B2	RSP
o0000293	U+121B2	RSP
o0000293	U+121B2	RSP
