@label	RSP
@title	Oracc RSP font
@page	/osl/Fonts/Oracc-RSP/
@font	Oracc-RSP.ttf
@css	ofs-rsp
@mag	110
@list	RSP
o0000573	U+12323	RSP
o0000138	U+12324	RSP
o0000138	U+12324	RSP
o0000138	U+12324	RSP
o0000138	U+12324	RSP
o0000138	U+12324	RSP
o0000138	U+12324	RSP
o0000138	U+12324	RSP
o0000574	U+12327	RSP
o0000574	U+12327	RSP
o0000574	U+12327	RSP
o0000574	U+12327	RSP
o0000574	U+12327	RSP
o0000574	U+12327	RSP
o0000574	U+12327	RSP
o0000576	U+12328	RSP
o0000576	U+12328	RSP
o0000576	U+12328	RSP
o0000576	U+12328	RSP
o0000576	U+12328	RSP
o0000576	U+12328	RSP
o0000576	U+12328	RSP
o0000585	U+1232B	RSP
o0000585	U+1232B	RSP
o0000585	U+1232B	RSP
o0000585	U+1232B	RSP
o0000585	U+1232B	RSP
o0000585	U+1232B	RSP
o0000585	U+1232B	RSP
o0000585	U+1232B	RSP
o0000585	U+1232B	RSP
o0000588	U+12334	RSP
o0000588	U+12334	RSP
o0000588	U+12334	RSP
o0000588	U+12334	RSP
o0000588	U+12334	RSP
o0000579	U+12335	RSP
o0000579	U+12335	RSP
o0000582	U+12337	RSP
o0000582	U+12337	RSP
o0000582	U+12337	RSP
o0000582	U+12337	RSP
o0000582	U+12337	RSP
o0000582	U+12337	RSP
o0000582	U+12337	RSP
o0002553	U+12338	RSP
o0002561	U+1233E	RSP
o0002561	U+1233E	RSP
o0002561	U+1233E	RSP
o0002561	U+1233E	RSP
o0002561	U+1233E	RSP
o0002564	U+12340	RSP
o0002566	U+12342	RSP
o0002566	U+12342	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0002578	U+1234E	RSP
o0000584	U+1234F	RSP
o0000595	U+12351	RSP
o0000595	U+12351	RSP
o0002615	U+12354	RSP
o0002617	U+12355	RSP
o0002617	U+12355	RSP
o0002617	U+12355	RSP
o0002617	U+12355	RSP
o0002617	U+12355	RSP
o0000594	U+1235A	RSP
o0000603	U+1235D	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000605	U+12360	RSP
o0000609	U+12363	RSP
o0000609	U+12363	RSP
o0002666	U+12364	RSP
o0002666	U+12364	RSP
o0002666	U+12364	RSP
o0002666	U+12364	RSP
o0002666	U+12364	RSP
o0002666	U+12364	RSP
o0002666	U+12364	RSP
o0000612	U+12369	RSP
o0000614	U+1236A	RSP
o0000614	U+1236A	RSP
o0000614	U+1236A	RSP
o0000614	U+1236A	RSP
o0000614	U+1236A	RSP
o0000617	U+1236E	RSP
o0000617	U+1236E	RSP
o0000617	U+1236E	RSP
o0000617	U+1236E	RSP
o0000617	U+1236E	RSP
o0000617	U+1236E	RSP
o0000617	U+1236E	RSP
o0000212	U+1237C	RSP
o0000212	U+1237C	RSP
o0000212	U+1237C	RSP
o0000212	U+1237C	RSP
o0000212	U+1237C	RSP
o0001444	U+1237D	RSP
o0001444	U+1237D	RSP
o0002079	U+1238E	RSP
o0002323	U+1238F	RSP
o0000007	U+12415	RSP
o0000007	U+12415	RSP
o0000007	U+12415	RSP
o0000007	U+12415	RSP
o0000007	U+12415	RSP
o0000006	U+1241E	RSP
o0000048	U+1244D	RSP
o0000060	U+1244E	RSP
o0000003	U+1244F	RSP
o0000011	U+12450	RSP
o0000024	U+12451	RSP
o0000481	U+12456	RSP
o0000480	U+12457	RSP
o0000181	U+1245D	RSP
o0000182	U+1245E	RSP
o0000182	U+1245E	RSP
o0000183	U+1245F	RSP
o0000184	U+12460	RSP
o0000898	U+12484	RSP
o0000326	U+124E3	RSP
o0000326	U+124E3	RSP
o0000326	U+124E3	RSP
o0000326	U+124E3	RSP
o0000326	U+124E3	RSP
o0000326	U+124E3	RSP
o0000326	U+124E3	RSP
o0000326	U+124E3	RSP
o0000326	U+124E3	RSP
o0001856	U+124F6	RSP
o0000380	U+124F9	RSP
o0000380	U+124F9	RSP
o0000384	U+124FB	RSP
o0000384	U+124FB	RSP
o0001868	U+12506	RSP
o0001868	U+12506	RSP
o0000408	U+1250D	RSP
o0000408	U+1250D	RSP
o0000408	U+1250D	RSP
o0000408	U+1250D	RSP
o0000408	U+1250D	RSP
o0000415	U+12518	RSP
o0002429	U+1253A	RSP
o0002429	U+1253A	RSP
o0221914	U+12550	RSP
o0223340	U+1255A	RSP
o0223339	U+1255B	RSP
o0223334	U+12562	RSP
o0223469	U+1256B	RSP
o0223467	U+12574	RSP
o0223467	U+12574	RSP
o0223485	U+12579	RSP
o0223373	U+12582	RSP
o0223358	U+12587	RSP
o0223359	U+12589	RSP
o0223372	U+1258E	RSP
o0223385	U+12593	RSP
o0223389	U+12594	RSP
o0223398	U+12595	RSP
o0223482	U+12598	RSP
o0223483	U+12599	RSP
o0223341	U+F0000	RSP
o0223342	U+F0001	RSP
o0223343	U+F0002	RSP
o0002678	U+F004D	RSP
o0000655	x12000.x1202D	RSP
o0000685	x12000.x12146	RSP
o0000697	x12000.x121C9	RSP
o0000711	x12000.x12239	RSP
o0000758	x12016.x121AA	RSP
o0000763	x12016.x122AE	RSP
o0000762	x12016.x122AE.x12100	RSP
o0223365	x12016.x122FA	RSP
o0000773	x1201C.x121A4	RSP
o0000820	x1202D.x1223E	RSP
o0000866	x12038.x12038	RSP
o0000991	x1207A.x1207A	RSP
o0001151	x1208D.x122DE	RSP
o0001052	x12097.x121A4	RSP
o0001103	x120A6.x1202D	RSP
o0001190	x120F0.x122FA.x122DB	RSP
o0001378	x12111.x1222A	RSP
o0001383	x12111.x1224B	RSP
o0001398	x12111.x12306.x1227F.x122FC.x12000.x1207A	RSP
o0001436	x12129.x12000	RSP
o0001466	x12137.x1212D	RSP
o0001469	x12137.x1223F	RSP
o0001491	x12146.x1207A	RSP
o0001489	x12146.x1207E	RSP
o0001497	x12146.x120FB	RSP
o0223361	x12146.x121B8	RSP
o0001511	x12146.x12292	RSP
o0001516	x12146.x12328	RSP
o0001584	x1219C.x120B5	RSP
o0001768	x121AC.x12100	RSP
o0001772	x121B8.x121B8	RSP
o0001888	x121F2.x121B8	RSP
o0001909	x121FB.x1213E	RSP
o0001993	x12226.x12118.x120FC	RSP
o0002041	x12239.x1209E	RSP
o0002066	x12248.x12292	RSP
o0002076	x1224C.x12307	RSP
o0223366	x12262.x121B7.x12053	RSP
o0002125	x12263.x121EC	RSP
o0002134	x12263.x12228.x12174	RSP
o0002136	x12263.x12228.x122F3	RSP
o0002142	x1226D.x12016	RSP
o0025709	x1226D.x12083.x12000	RSP
o0002177	x1227A.x1207D	RSP
o0002198	x1227A.x121FB	RSP
o0002206	x1227A.x122FC.x122DB	RSP
o0002216	x1227B.x1202D.x12239	RSP
o0002231	x1227D.x1227D	RSP
o0002297	x122A9.x1203E.x120FC	RSP
o0002304	x122A9.x121B3	RSP
o0002313	x122A9.x12228	RSP
o0002331	x122A9.x12351.x12072	RSP
o0002330	x122A9.x12351.x12072.x121A4	RSP
o0002735	x122C0.x12015	RSP
o0002740	x122C0.x121A0	RSP
o0002798	x122D7.x12240	RSP
o0002337	x122DB.x12000	RSP
o0002412	x122FC.x12000	RSP
o0002438	x12309.x12309	RSP
o0002446	x1230B.x1201C	RSP
o0002457	x1230B.x120B5	RSP
o0002456	x1230B.x120F6	RSP
o0002461	x1230B.x12157	RSP
o0002468	x1230B.x12306	RSP
o0002473	x1230B.x12313	RSP
o0002472	x1230B.x12313.x121A4	RSP
o0002488	x12313.x1207A	RSP
o0002503	x12313.x12223.x1200F.x122F3	RSP
o0002508	x12313.x12263	RSP
o0002512	x12313.x12313	RSP
o0002610	x12351.x121AA	RSP
o0002643	x1235D.x12122	RSP
o0002659	x12360.x12129	RSP
o0002674	x1236A.x1200A	RSP
