MZL197	U+F52D5	󵋕
MZL198	U+F52D6	󵋖
MZL199	U+F52D7	󵋗
MZL200	U+F52D8	󵋘
MZL201	U+F52D9	󵋙
MZL202	U+F52DA	󵋚
MZL203	U+F52DB	󵋛
MZL204	U+F52DC	󵋜
MZL205	U+F52DD	󵋝
MZL206	U+F52DE	󵋞
MZL207	U+F52DF	󵋟
MZL208	U+F52E0	󵋠
MZL209	U+F52E1	󵋡
MZL210	U+F52E2	󵋢
MZL211	U+F52E3	󵋣
MZL212	U+F52E4	󵋤
MZL213	U+F52E5	󵋥
MZL214	U+F52E6	󵋦
MZL215	U+F52E7	󵋧
MZL216	U+F52E8	󵋨
MZL217	U+F52E9	󵋩
MZL218	U+F52EA	󵋪
MZL219	U+F52EB	󵋫
MZL220	U+F52EC	󵋬
MZL221	U+F52ED	󵋭
MZL222	U+F52EE	󵋮
MZL223	U+F52EF	󵋯
MZL224	U+F52F0	󵋰
MZL225	U+F52F1	󵋱
MZL226	U+F52F2	󵋲
MZL227	U+F52F3	󵋳
MZL228	U+F52F4	󵋴
MZL229	U+F52F5	󵋵
MZL230	U+F52F6	󵋶
MZL231	U+F52F7	󵋷
MZL232	U+F52F9	󵋹
MZL233	U+F52FA	󵋺
MZL234	U+F52FB	󵋻
MZL235	U+F52FC	󵋼
MZL236	U+F52FD	󵋽
MZL237	U+F52FE	󵋾
MZL238	U+F52FF	󵋿
MZL239	U+F5300	󵌀
MZL240	U+F5301	󵌁
MZL241	U+F5302	󵌂
MZL242	U+F5303	󵌃
MZL243	U+F5304	󵌄
MZL244	U+F5305	󵌅
MZL245	U+F5306	󵌆
MZL246	U+F5307	󵌇
MZL247	U+F5308	󵌈
MZL248	U+F5309	󵌉
MZL249	U+F530A	󵌊
MZL250	U+F530B	󵌋
MZL251	U+F530D	󵌍
MZL252	U+F530E	󵌎
MZL253	U+F5310	󵌐
MZL254	U+F5311	󵌑
MZL255	U+F5312	󵌒
MZL256	U+F5313	󵌓
MZL257	U+F5314	󵌔
MZL258	U+F5315	󵌕
