@label	oNOTO
@font	/home/oracc/www/fonts/Oracc-Noto-SansCuneiform.ttf
@css	ofs-noto
o0000579	U+12335	oNOTO
o0000581	U+12336	oNOTO
o0000582	U+12337	oNOTO
o0002553	U+12338	oNOTO
o0002554	U+12339	oNOTO
o0002555	U+1233A	oNOTO
o0002557	U+1233B	oNOTO
o0002563	U+1233C	oNOTO
o0002560	U+1233D	oNOTO
o0002561	U+1233E	oNOTO
o0002562	U+1233F	oNOTO
o0002564	U+12340	oNOTO
o0002565	U+12341	oNOTO
o0002566	U+12342	oNOTO
o0002567	U+12343	oNOTO
o0002568	U+12344	oNOTO
o0002569	U+12345	oNOTO
o0002571	U+12346	oNOTO
o0002572	U+12347	oNOTO
o0002573	U+12348	oNOTO
o0002579	U+12349	oNOTO
o0002574	U+1234A	oNOTO
o0002576	U+1234B	oNOTO
o0002552	U+1234C	oNOTO
o0002577	U+1234D	oNOTO
o0002578	U+1234E	oNOTO
o0000584	U+1234F	oNOTO
o0002545	U+12350	oNOTO
o0000595	U+12351	oNOTO
o0002614	U+12352	oNOTO
o0002616	U+12353	oNOTO
o0002615	U+12354	oNOTO
o0002617	U+12355	oNOTO
o0000597	U+12356	oNOTO
o0000598	U+12357	oNOTO
o0000591	U+12359	oNOTO
o0000594	U+1235A	oNOTO
o0002602	U+1235B	oNOTO
o0000592	U+1235C	oNOTO
o0000603	U+1235D	oNOTO
o0000604	U+1235E	oNOTO
o0000619	U+1235F	oNOTO
o0000605	U+12360	oNOTO
o0000172	U+12361	oNOTO
o0000608	U+12362	oNOTO
o0000609	U+12363	oNOTO
o0002666	U+12364	oNOTO
o0000613	U+12365	oNOTO
o0000613	U+12365	oNOTO
o0000870	U+12366	oNOTO
o0000869	U+12367	oNOTO
o0000611	U+12368	oNOTO
o0000612	U+12369	oNOTO
o0000612	U+12369	oNOTO
o0000614	U+1236A	oNOTO
o0000618	U+1236B	oNOTO
o0002680	U+1236C	oNOTO
o0000616	U+1236D	oNOTO
o0000617	U+1236E	oNOTO
o0000274	U+1236F	oNOTO
o0000754	U+12370	oNOTO
o0032011	U+12371	oNOTO
o0032013	U+12372	oNOTO
o0032015	U+12373	oNOTO
o0032005	U+12374	oNOTO
o0032017	U+12375	oNOTO
o0001107	U+12377	oNOTO
o0001121	U+12378	oNOTO
o0021744	U+12379	oNOTO
o0221935	U+1237A	oNOTO
o0000209	U+1237B	oNOTO
o0000212	U+1237C	oNOTO
o0001444	U+1237D	oNOTO
o0032019	U+1237E	oNOTO
o0001608	U+1237F	oNOTO
o0001633	U+12380	oNOTO
o0027998	U+12381	oNOTO
o0001636	U+12382	oNOTO
o0001646	U+12383	oNOTO
o0001652	U+12384	oNOTO
o0032023	U+12385	oNOTO
o0001660	U+12386	oNOTO
o0001665	U+12387	oNOTO
o0032025	U+12388	oNOTO
o0001957	U+12389	oNOTO
o0021745	U+1238A	oNOTO
o0001987	U+1238B	oNOTO
o0002011	U+1238C	oNOTO
o0018588	U+1238D	oNOTO
o0002079	U+1238E	oNOTO
o0002323	U+1238F	oNOTO
o0002305	U+12390	oNOTO
o0002097	U+12391	oNOTO
o0023070	U+12392	oNOTO
o0000492	U+12393	oNOTO
o0032007	U+12394	oNOTO
o0032009	U+12395	oNOTO
o0032027	U+12396	oNOTO
o0027220	U+12397	oNOTO
o0028066	U+12398	oNOTO
o0002475	U+12399	oNOTO
o0000009	U+12400	oNOTO
o0000020	U+12401	oNOTO
o0000034	U+12402	oNOTO
o0000047	U+12403	oNOTO
o0000059	U+12404	oNOTO
o0000066	U+12405	oNOTO
o0000074	U+12406	oNOTO
o0000079	U+12407	oNOTO
o0000027	U+12408	oNOTO
o0000040	U+12409	oNOTO
o0000052	U+1240A	oNOTO
o0000062	U+1240B	oNOTO
o0000068	U+1240C	oNOTO
o0000075	U+1240D	oNOTO
o0000080	U+1240E	oNOTO
o0000043	U+1240F	oNOTO
o0000055	U+12410	oNOTO
o0000064	U+12411	oNOTO
o0000072	U+12412	oNOTO
o0000077	U+12413	oNOTO
o0000085	U+12414	oNOTO
o0000007	U+12415	oNOTO
o0000017	U+12416	oNOTO
o0000029	U+12417	oNOTO
o0000042	U+12418	oNOTO
o0000054	U+12419	oNOTO
o0000063	U+1241A	oNOTO
o0000071	U+1241B	oNOTO
o0000076	U+1241C	oNOTO
o0000084	U+1241D	oNOTO
o0000006	U+1241E	oNOTO
o0000016	U+1241F	oNOTO
o0000028	U+12420	oNOTO
o0000041	U+12421	oNOTO
o0000053	U+12422	oNOTO
o0000019	U+12423	oNOTO
o0000032	U+12424	oNOTO
o0000033	U+12425	oNOTO
o0000046	U+12426	oNOTO
o0000058	U+12427	oNOTO
o0000065	U+12428	oNOTO
o0000073	U+12429	oNOTO
o0000078	U+1242A	oNOTO
o0000086	U+1242B	oNOTO
o0000008	U+1242C	oNOTO
o0000018	U+1242D	oNOTO
o0000030	U+1242E	oNOTO
o0000031	U+1242F	oNOTO
o0000045	U+12430	oNOTO
o0000057	U+12431	oNOTO
o0002681	U+12432	oNOTO
o0002682	U+12433	oNOTO
o0000562	U+12434	oNOTO
o0000012	U+12435	oNOTO
o0000025	U+12436	oNOTO
o0000026	U+12437	oNOTO
o0000039	U+12438	oNOTO
o0000051	U+12439	oNOTO
o0000023	U+1243B	oNOTO
o0000427	U+1243C	oNOTO
o0000036	U+1243D	oNOTO
o0000428	U+1243E	oNOTO
o0000429	U+1243F	oNOTO
o0000061	U+12440	oNOTO
o0000067	U+12441	oNOTO
o0025651	U+12442	oNOTO
o0025653	U+12443	oNOTO
o0000589	U+12444	oNOTO
o0000590	U+12445	oNOTO
o0000250	U+12446	oNOTO
o0000081	U+12447	oNOTO
o0000082	U+12448	oNOTO
o0000083	U+12449	oNOTO
o0000010	U+1244A	oNOTO
o0000021	U+1244B	oNOTO
o0000035	U+1244C	oNOTO
o0000048	U+1244D	oNOTO
o0000060	U+1244E	oNOTO
o0000003	U+1244F	oNOTO
o0000011	U+12450	oNOTO
o0000024	U+12451	oNOTO
o0000037	U+12452	oNOTO
o0000038	U+12453	oNOTO
o0000049	U+12454	oNOTO
o0000050	U+12455	oNOTO
o0000481	U+12456	oNOTO
o0000480	U+12457	oNOTO
o0000005	U+12458	oNOTO
o0000015	U+12459	oNOTO
o0002849	U+1245A	oNOTO
o0002826	U+1245B	oNOTO
o0000283	U+1245C	oNOTO
o0000181	U+1245D	oNOTO
o0000182	U+1245E	oNOTO
o0000183	U+1245F	oNOTO
o0000184	U+12460	oNOTO
o0000185	U+12461	oNOTO
o0000186	U+12462	oNOTO
o0031991	U+12463	oNOTO
o0031987	U+12464	oNOTO
o0031989	U+12465	oNOTO
o0031992	U+12466	oNOTO
o0000044	U+12467	oNOTO
o0000056	U+12468	oNOTO
o0031993	U+12469	oNOTO
o0031995	U+1246A	oNOTO
o0031997	U+1246B	oNOTO
o0031999	U+1246C	oNOTO
o0032001	U+1246D	oNOTO
o0032003	U+1246E	oNOTO
o0000505	U+12470	oNOTO
o0000506	U+12471	oNOTO
o0000507	U+12472	oNOTO
o0000508	U+12473	oNOTO
o0000509	U+12474	oNOTO
o0000753	U+12480	oNOTO
o0000756	U+12481	oNOTO
o0000775	U+12482	oNOTO
o0000897	U+12483	oNOTO
o0000898	U+12484	oNOTO
o0000899	U+12485	oNOTO
o0000900	U+12486	oNOTO
o0000622	U+12487	oNOTO
o0000971	U+12488	oNOTO
o0000969	U+12489	oNOTO
o0000976	U+1248A	oNOTO
o0000975	U+1248B	oNOTO
o0000979	U+1248C	oNOTO
o0001009	U+1248D	oNOTO
o0001011	U+1248E	oNOTO
o0001010	U+1248F	oNOTO
o0001012	U+12490	oNOTO
o0001013	U+12491	oNOTO
o0001014	U+12492	oNOTO
o0001015	U+12493	oNOTO
o0001017	U+12494	oNOTO
o0001016	U+12495	oNOTO
o0001018	U+12496	oNOTO
o0001019	U+12497	oNOTO
o0001020	U+12498	oNOTO
o0001021	U+12499	oNOTO
o0001022	U+1249A	oNOTO
o0001023	U+1249B	oNOTO
o0001024	U+1249C	oNOTO
o0001006	U+1249D	oNOTO
o0001025	U+1249E	oNOTO
o0001026	U+1249F	oNOTO
o0001007	U+124A0	oNOTO
o0001008	U+124A1	oNOTO
o0001027	U+124A2	oNOTO
o0001028	U+124A3	oNOTO
o0001029	U+124A4	oNOTO
o0001030	U+124A5	oNOTO
o0001031	U+124A6	oNOTO
o0001033	U+124A7	oNOTO
o0001032	U+124A8	oNOTO
o0001157	U+124A9	oNOTO
o0001159	U+124AA	oNOTO
o0001086	U+124AB	oNOTO
o0001124	U+124AC	oNOTO
o0001091	U+124AD	oNOTO
o0001092	U+124AE	oNOTO
o0001093	U+124AF	oNOTO
o0001095	U+124B0	oNOTO
o0001094	U+124B1	oNOTO
o0001097	U+124B2	oNOTO
o0001096	U+124B3	oNOTO
o0001098	U+124B4	oNOTO
o0001117	U+124B5	oNOTO
o0001289	U+124B6	oNOTO
o0001293	U+124B7	oNOTO
o0001254	U+124B8	oNOTO
o0001255	U+124B9	oNOTO
o0001301	U+124BA	oNOTO
o0001304	U+124BB	oNOTO
o0001258	U+124BC	oNOTO
o0001259	U+124BD	oNOTO
o0001262	U+124BE	oNOTO
o0001268	U+124BF	oNOTO
o0001313	U+124C0	oNOTO
o0001270	U+124C1	oNOTO
o0001315	U+124C2	oNOTO
o0001317	U+124C3	oNOTO
o0001318	U+124C4	oNOTO
o0001272	U+124C5	oNOTO
o0001273	U+124C6	oNOTO
o0001332	U+124C7	oNOTO
o0001329	U+124C8	oNOTO
o0000191	U+124C9	oNOTO
o0001334	U+124CA	oNOTO
o0001405	U+124CB	oNOTO
o0001429	U+124CC	oNOTO
o0001418	U+124CD	oNOTO
o0000235	U+124CE	oNOTO
o0000624	U+124CF	oNOTO
o0001617	U+124D0	oNOTO
o0001640	U+124D1	oNOTO
o0001605	U+124D2	oNOTO
o0001664	U+124D3	oNOTO
o0001790	U+124D4	oNOTO
o0000349	U+124D5	oNOTO
o0000322	U+124D6	oNOTO
o0000338	U+124D7	oNOTO
o0000350	U+124D8	oNOTO
o0000390	U+124D9	oNOTO
o0031506	U+124DA	oNOTO
o0018530	U+124DB	oNOTO
o0025789	U+124DC	oNOTO
o0000418	U+124DD	oNOTO
o0001886	U+124DE	oNOTO
o0000421	U+124DF	oNOTO
o0000314	U+124E0	oNOTO
o0000316	U+124E1	oNOTO
o0000323	U+124E2	oNOTO
o0000326	U+124E3	oNOTO
o0000327	U+124E4	oNOTO
o0000329	U+124E5	oNOTO
o0000330	U+124E6	oNOTO
o0000332	U+124E7	oNOTO
o0000342	U+124E8	oNOTO
o0000343	U+124E9	oNOTO
o0000355	U+124EA	oNOTO
o0000356	U+124EB	oNOTO
o0000357	U+124EC	oNOTO
o0000363	U+124ED	oNOTO
o0000364	U+124EE	oNOTO
o0000368	U+124EF	oNOTO
o0000373	U+124F0	oNOTO
o0000374	U+124F1	oNOTO
o0001857	U+124F2	oNOTO
o0001858	U+124F3	oNOTO
o0001854	U+124F4	oNOTO
o0001855	U+124F5	oNOTO
o0001856	U+124F6	oNOTO
o0000375	U+124F7	oNOTO
o0000377	U+124F8	oNOTO
o0000380	U+124F9	oNOTO
o0000382	U+124FA	oNOTO
o0000384	U+124FB	oNOTO
o0000385	U+124FC	oNOTO
o0000386	U+124FD	oNOTO
o0000387	U+124FE	oNOTO
o0000397	U+124FF	oNOTO
o0000402	U+12500	oNOTO
o0000403	U+12501	oNOTO
o0001865	U+12502	oNOTO
o0001866	U+12503	oNOTO
o0027210	U+12504	oNOTO
o0001867	U+12505	oNOTO
o0001868	U+12506	oNOTO
o0001870	U+12507	oNOTO
o0001871	U+12508	oNOTO
o0001874	U+12509	oNOTO
o0001872	U+1250A	oNOTO
o0001873	U+1250B	oNOTO
o0000405	U+1250C	oNOTO
o0000408	U+1250D	oNOTO
o0001877	U+1250E	oNOTO
o0001878	U+1250F	oNOTO
o0028113	U+12510	oNOTO
o0001879	U+12511	oNOTO
o0001882	U+12512	oNOTO
o0001875	U+12513	oNOTO
o0001876	U+12514	oNOTO
o0001883	U+12515	oNOTO
o0001884	U+12516	oNOTO
o0000411	U+12517	oNOTO
o0000415	U+12518	oNOTO
o0001955	U+12519	oNOTO
o0001968	U+1251A	oNOTO
o0001974	U+1251B	oNOTO
o0001983	U+1251C	oNOTO
o0001961	U+1251D	oNOTO
o0001984	U+1251E	oNOTO
o0002015	U+1251F	oNOTO
o0000628	U+12520	oNOTO
o0000629	U+12521	oNOTO
o0002098	U+12522	oNOTO
o0002101	U+12523	oNOTO
o0002103	U+12524	oNOTO
o0002104	U+12525	oNOTO
o0002105	U+12526	oNOTO
o0002106	U+12527	oNOTO
o0002107	U+12528	oNOTO
o0002086	U+12529	oNOTO
o0002113	U+1252A	oNOTO
o0002087	U+1252B	oNOTO
o0002112	U+1252C	oNOTO
o0002271	U+1252D	oNOTO
o0002276	U+1252E	oNOTO
o0001673	U+1252F	oNOTO
o0002286	U+12530	oNOTO
o0002830	U+12531	oNOTO
o0002709	U+12532	oNOTO
o0000634	U+12533	oNOTO
o0002733	U+12534	oNOTO
o0002335	U+12535	oNOTO
o0002815	U+12536	oNOTO
o0002807	U+12537	oNOTO
o0002365	U+12538	oNOTO
o0002285	U+12539	oNOTO
o0002429	U+1253A	oNOTO
o0002428	U+1253B	oNOTO
o0000587	U+1253C	oNOTO
o0002596	U+1253D	oNOTO
o0002556	U+1253E	oNOTO
o0002570	U+1253F	oNOTO
o0000583	U+12540	oNOTO
o0000607	U+12541	oNOTO
o0002673	U+12542	oNOTO
o0002679	U+12543	oNOTO
o0221914	U+12550	oNOTO
o0223388	U+12551	oNOTO
o0223396	U+12552	oNOTO
o0223411	U+12553	oNOTO
o0223423	U+12554	oNOTO
o0223432	U+12555	oNOTO
o0223438	U+12556	oNOTO
o0223446	U+12557	oNOTO
o0223451	U+12558	oNOTO
o0223336	U+12559	oNOTO
o0223340	U+1255A	oNOTO
o0223339	U+1255B	oNOTO
o0223415	U+1255C	oNOTO
o0223426	U+1255D	oNOTO
o0223434	U+1255E	oNOTO
o0223440	U+1255F	oNOTO
o0223447	U+12560	oNOTO
o0223453	U+12561	oNOTO
o0223334	U+12562	oNOTO
o0223394	U+12563	oNOTO
o0223406	U+12564	oNOTO
o0223420	U+12565	oNOTO
o0223429	U+12566	oNOTO
o0223436	U+12567	oNOTO
o0223444	U+12568	oNOTO
o0223449	U+12569	oNOTO
o0223459	U+1256A	oNOTO
o0223469	U+1256B	oNOTO
o0223393	U+1256C	oNOTO
o0223404	U+1256D	oNOTO
o0223418	U+1256E	oNOTO
o0223428	U+1256F	oNOTO
o0223435	U+12570	oNOTO
o0223443	U+12571	oNOTO
o0223448	U+12572	oNOTO
o0223458	U+12573	oNOTO
o0223467	U+12574	oNOTO
o0223392	U+12575	oNOTO
o0223402	U+12576	oNOTO
o0223416	U+12577	oNOTO
o0223427	U+12578	oNOTO
o0223485	U+12579	oNOTO
o0223395	U+1257A	oNOTO
o0223409	U+1257B	oNOTO
o0223422	U+1257C	oNOTO
o0223430	U+1257D	oNOTO
o0223437	U+1257E	oNOTO
o0223445	U+1257F	oNOTO
o0223450	U+12580	oNOTO
o0223460	U+12581	oNOTO
o0223373	U+12582	oNOTO
o0223376	U+12583	oNOTO
o0223408	U+12584	oNOTO
o0223381	U+12585	oNOTO
o0223383	U+12586	oNOTO
o0223358	U+12587	oNOTO
o0038149	U+12588	oNOTO
o0223359	U+12589	oNOTO
o0038146	U+1258A	oNOTO
o0038147	U+1258B	oNOTO
o0223386	U+1258C	oNOTO
o0223391	U+1258D	oNOTO
o0223372	U+1258E	oNOTO
o0223375	U+1258F	oNOTO
o0223377	U+12590	oNOTO
o0223380	U+12591	oNOTO
o0223382	U+12592	oNOTO
o0223385	U+12593	oNOTO
o0223389	U+12594	oNOTO
o0223398	U+12595	oNOTO
o0223413	U+12596	oNOTO
o0223424	U+12597	oNOTO
o0223482	U+12598	oNOTO
o0223483	U+12599	oNOTO
o0027278	U+1259A	oNOTO
o0038105	U+1259B	oNOTO
o0038107	U+1259C	oNOTO
o0038109	U+1259D	oNOTO
o0038111	U+1259E	oNOTO
o0038112	U+1259F	oNOTO
o0038113	U+125A0	oNOTO
o0038362	U+125A1	oNOTO
o0038364	U+125A2	oNOTO
o0027282	U+125A3	oNOTO
o0038118	U+125A4	oNOTO
o0038120	U+125A5	oNOTO
o0038122	U+125A6	oNOTO
o0038360	U+125A7	oNOTO
o0027234	U+1264C	oNOTO
o0027294	U+1264D	oNOTO
o0027327	U+1264E	oNOTO
o0027348	U+1264F	oNOTO
o0027376	U+12650	oNOTO
o0027397	U+12651	oNOTO
o0027411	U+12652	oNOTO
o0027421	U+12653	oNOTO
o0027435	U+12654	oNOTO
o0027242	U+12655	oNOTO
o0027246	U+12656	oNOTO
o0027300	U+12657	oNOTO
o0027335	U+12658	oNOTO
o0027355	U+12659	oNOTO
o0027381	U+1265A	oNOTO
o0027401	U+1265B	oNOTO
o0027415	U+1265C	oNOTO
o0027425	U+1265D	oNOTO
o0027439	U+1265E	oNOTO
o0027259	U+1265F	oNOTO
o0027311	U+12660	oNOTO
o0027342	U+12661	oNOTO
o0027363	U+12662	oNOTO
o0027387	U+12663	oNOTO
o0027407	U+12664	oNOTO
o0031402	U+12665	oNOTO
o0027429	U+12666	oNOTO
o0027441	U+12667	oNOTO
o0027268	U+12668	oNOTO
o0027316	U+12669	oNOTO
o0027253	U+1266A	oNOTO
o0027307	U+1266B	oNOTO
o0027280	U+1266C	oNOTO
o0027324	U+1266D	oNOTO
o0027343	U+1266E	oNOTO
o0027373	U+1266F	oNOTO
o0027393	U+12670	oNOTO
o0031384	U+12671	oNOTO
o0031414	U+12672	oNOTO
o0027431	U+12673	oNOTO
o0027443	U+12674	oNOTO
o0031114	U+12675	oNOTO
o0027238	U+12676	oNOTO
o0027297	U+12677	oNOTO
o0027331	U+12678	oNOTO
o0027351	U+12679	oNOTO
o0027378	U+1267A	oNOTO
o0027250	U+1267B	oNOTO
o0027303	U+1267C	oNOTO
o0027338	U+1267D	oNOTO
o0027359	U+1267E	oNOTO
o0027385	U+1267F	oNOTO
o0027405	U+12680	oNOTO
o0027417	U+12681	oNOTO
o0031424	U+12682	oNOTO
o0031444	U+12683	oNOTO
o0031135	U+12684	oNOTO
o0027318	U+12685	oNOTO
o0027264	U+12686	oNOTO
o0223341	U+F0000	oNOTO
o0223342	U+F0001	oNOTO
o0223343	U+F0002	oNOTO
o0223344	U+F0003	oNOTO
o0223345	U+F0004	oNOTO
o0223346	U+F0005	oNOTO
o0223347	U+F0006	oNOTO
o0223348	U+F0007	oNOTO
o0223349	U+F0008	oNOTO
o0223464	U+F0009	oNOTO
o0018865	U+F000A	oNOTO
o0038129	U+F000B	oNOTO
o0038127	U+F000C	oNOTO
o0038126	U+F000D	oNOTO
o0038143	U+F000E	oNOTO
o0038174	U+F000F	oNOTO
o0038141	U+F0010	oNOTO
o0038293	U+F0011	oNOTO
o0223333	U+F0012	oNOTO
o0038282	U+F0013	oNOTO
o0223378	U+F0014	oNOTO
o0038173	U+F0015	oNOTO
o0038144	U+F0016	oNOTO
o0223390	U+F0017	oNOTO
o0038279	U+F0018	oNOTO
o0038133	U+F0019	oNOTO
o0223405	U+F001A	oNOTO
o0223419	U+F001B	oNOTO
o0223470	U+F001C	oNOTO
o0038290	U+F001D	oNOTO
o0038292	U+F001E	oNOTO
o0223472	U+F001F	oNOTO
o0038151	U+F0020	oNOTO
o0038153	U+F0021	oNOTO
o0038155	U+F0022	oNOTO
o0038157	U+F0023	oNOTO
o0038159	U+F0024	oNOTO
o0038161	U+F0025	oNOTO
o0038286	U+F0026	oNOTO
o0223403	U+F0027	oNOTO
o0223417	U+F0028	oNOTO
o0038276	U+F0029	oNOTO
o0038263	U+F002A	oNOTO
o0025674	U+F002B	oNOTO
o0038252	U+F002C	oNOTO
o0038254	U+F002D	oNOTO
o0038256	U+F002E	oNOTO
o0038258	U+F002F	oNOTO
o0038260	U+F0030	oNOTO
o0038262	U+F0031	oNOTO
o0223410	U+F0032	oNOTO
o0245340	U+F0033	oNOTO
o0223379	U+F0034	oNOTO
o0223374	U+F0035	oNOTO
o0038246	U+F0036	oNOTO
o0245338	U+F0037	oNOTO
o0245339	U+F0038	oNOTO
o0038248	U+F0039	oNOTO
o0028128	U+F003A	oNOTO
o0223407	U+F003B	oNOTO
o0223421	U+F003C	oNOTO
o0028115	U+F003D	oNOTO
o0028116	U+F003E	oNOTO
o0028118	U+F003F	oNOTO
o0028119	U+F0040	oNOTO
o0038137	U+F0041	oNOTO
o0038367	U+F0042	oNOTO
o0038243	U+F0043	oNOTO
o0027733	U+F0044	oNOTO
o0038369	U+F0045	oNOTO
o0025701	U+F0046	oNOTO
o0018502	U+F0047	oNOTO
o0038374	U+F0049	oNOTO
o0038371	U+F004A	oNOTO
o0038373	U+F004B	oNOTO
o0036120	U+F004C	oNOTO
o0002678	U+F004D	oNOTO
o0000744	U+F004E	oNOTO
o0021192	U+F004F	oNOTO
o0000521	U+F0050	oNOTO
o0002758	U+F0051	oNOTO
o0027582	U+F0052	oNOTO
o0038396	U+F0053	oNOTO
o0027653	U+F0054	oNOTO
o0027655	U+F0055	oNOTO
o0187962	U+F0056	oNOTO
o0029097	U+F0057	oNOTO
o0027570	U+F0058	oNOTO
