@label	NA
@font	/home/oracc/www/fonts/Oracc-NA-Outline.ttf
@css	ofs-nao
@list	MZL
o0000870	U+12366	NA
o0000611	U+12368	NA
o0000612	U+12369	NA
o0000614	U+1236A	NA
o0000618	U+1236B	NA
o0002680	U+1236C	NA
o0000617	U+1236E	NA
o0002079	U+1238E	NA
o0000040	U+12409	NA
o0000052	U+1240A	NA
o0000062	U+1240B	NA
o0000075	U+1240D	NA
o0000043	U+1240F	NA
o0000055	U+12410	NA
o0000007	U+12415	NA
o0000250	U+12446	NA
o0000082	U+12448	NA
o0000003	U+1244F	NA
o0000011	U+12450	NA
o0000024	U+12451	NA
o0002849	U+1245A	NA
o0002826	U+1245B	NA
o0000283	U+1245C	NA
o0000506	U+12471	NA
o0000507	U+12472	NA
o0000508	U+12473	NA
