@label	Gudea
@font	/home/oracc/www/fonts/Oracc-gudea.ttf
@css	ofs-gudea
o0000247	U+12146	Gudea
o0001487	U+12147	Gudea
o0001510	U+12148	Gudea
o0000248	U+1214A	Gudea
o0000249	U+1214B	Gudea
o0000252	U+1214D	Gudea
o0000255	U+12153	Gudea
o0000256	U+12154	Gudea
o0000257	U+12155	Gudea
o0000259	U+12156	Gudea
o0000260	U+12157	Gudea
o0001611	U+12158	Gudea
o0001626	U+12164	Gudea
o0001627	U+12165	Gudea
o0001630	U+12168	Gudea
o0001648	U+12174	Gudea
o0001676	U+12183	Gudea
o0001662	U+12189	Gudea
o0000277	U+1218D	Gudea
o0000263	U+1218F	Gudea
o0000269	U+12195	Gudea
o0000270	U+12197	Gudea
o0000278	U+1219F	Gudea
o0000279	U+121A0	Gudea
o0000281	U+121A4	Gudea
o0000282	U+121A5	Gudea
o0000284	U+121A6	Gudea
o0000289	U+121AA	Gudea
o0000296	U+121AC	Gudea
o0000297	U+121AD	Gudea
o0000291	U+121B0	Gudea
o0000293	U+121B2	Gudea
o0000294	U+121B3	Gudea
o0000305	U+121B7	Gudea
o0000306	U+121B8	Gudea
o0001800	U+121B9	Gudea
o0001804	U+121C0	Gudea
o0001778	U+121C7	Gudea
o0001814	U+121C9	Gudea
o0001838	U+121E5	Gudea
o0000307	U+121EC	Gudea
o0000308	U+121EF	Gudea
o0000422	U+121F2	Gudea
o0000424	U+121F4	Gudea
o0000425	U+121F7	Gudea
o0000426	U+121F8	Gudea
o0000431	U+121FA	Gudea
o0000433	U+121FB	Gudea
o0000439	U+121FD	Gudea
o0000443	U+12216	Gudea
o0000434	U+12217	Gudea
o0000436	U+1221B	Gudea
o0000437	U+1221C	Gudea
o0000438	U+1221D	Gudea
o0000444	U+12220	Gudea
o0000452	U+12223	Gudea
o0000446	U+12224	Gudea
o0000448	U+12225	Gudea
o0000449	U+12226	Gudea
o0000451	U+12227	Gudea
o0000453	U+12228	Gudea
o0000454	U+12229	Gudea
o0000455	U+1222A	Gudea
o0000456	U+1222B	Gudea
o0000457	U+1222C	Gudea
o0002016	U+1222D	Gudea
o0000459	U+1222F	Gudea
o0000460	U+12230	Gudea
o0000463	U+12232	Gudea
o0000466	U+12239	Gudea
o0000469	U+1223E	Gudea
o0000476	U+1223F	Gudea
o0000470	U+12240	Gudea
o0000130	U+12245	Gudea
o0000474	U+12246	Gudea
o0000477	U+12248	Gudea
o0000477	U+12248	Gudea
o0000478	U+1224B	Gudea
o0000479	U+1224C	Gudea
o0000486	U+1224E	Gudea
o0000482	U+1224F	Gudea
o0002081	U+12250	Gudea
o0000483	U+12252	Gudea
o0002109	U+12258	Gudea
o0000487	U+12261	Gudea
o0000491	U+12262	Gudea
o0000488	U+12263	Gudea
o0000488	U+12263	Gudea
o0002123	U+1226A	Gudea
o0000490	U+1226D	Gudea
o0000497	U+1227A	Gudea
o0000498	U+1227B	Gudea
o0000499	U+1227C	Gudea
o0000500	U+1227D	Gudea
o0000500	U+1227D	Gudea
o0000502	U+1227F	Gudea
o0000503	U+1228A	Gudea
o0002244	U+1228C	Gudea
o0000510	U+1228F	Gudea
o0000514	U+12291	Gudea
o0000516	U+12292	Gudea
o0000517	U+12293	Gudea
o0000518	U+12295	Gudea
o0002292	U+122A2	Gudea
o0000519	U+122A8	Gudea
o0000522	U+122A9	Gudea
o0000522	U+122A9	Gudea
o0000524	U+122AC	Gudea
o0002824	U+122AD	Gudea
o0002828	U+122AE	Gudea
o0002829	U+122B7	Gudea
o0002831	U+122BA	Gudea
o0002831	U+122BA	Gudea
o0002714	U+122BB	Gudea
o0002832	U+122BE	Gudea
o0002833	U+122BF	Gudea
o0002834	U+122C0	Gudea
o0002837	U+122C3	Gudea
o0002755	U+122CE	Gudea
o0002839	U+122D2	Gudea
o0002842	U+122D6	Gudea
o0002842	U+122D6	Gudea
o0002845	U+122D7	Gudea
o0000525	U+122DB	Gudea
o0000527	U+122DD	Gudea
o0000528	U+122DE	Gudea
o0000529	U+122E0	Gudea
o0000531	U+122E2	Gudea
o0000532	U+122E4	Gudea
o0000535	U+122E6	Gudea
o0000536	U+122E7	Gudea
o0000539	U+122E9	Gudea
o0000541	U+122EB	Gudea
o0002407	U+122ED	Gudea
o0000544	U+122F0	Gudea
o0000546	U+122F3	Gudea
o0000547	U+122FA	Gudea
o0000548	U+122FB	Gudea
o0000550	U+122FC	Gudea
o0000551	U+122FD	Gudea
o0000553	U+122FE	Gudea
o0002726	U+12301	Gudea
o0000556	U+12305	Gudea
o0000557	U+12306	Gudea
o0000558	U+12307	Gudea
o0000559	U+12308	Gudea
o0000560	U+12309	Gudea
o0000561	U+1230B	Gudea
o0000561	U+1230B	Gudea
o0000561	U+1230B	Gudea
o0002459	U+1230C	Gudea
o0002471	U+1230D	Gudea
o0002442	U+1230F	Gudea
o0000599	U+12311	Gudea
o0000564	U+12312	Gudea
o0000565	U+12313	Gudea
o0002520	U+12317	Gudea
o0000571	U+1231D	Gudea
o0000572	U+12322	Gudea
o0000575	U+12326	Gudea
o0000574	U+12327	Gudea
o0000576	U+12328	Gudea
o0000585	U+1232B	Gudea
o0000579	U+12335	Gudea
o0000581	U+12336	Gudea
o0000582	U+12337	Gudea
o0002553	U+12338	Gudea
o0002555	U+1233A	Gudea
o0002564	U+12340	Gudea
o0002566	U+12342	Gudea
o0002578	U+1234E	Gudea
o0000584	U+1234F	Gudea
o0000595	U+12351	Gudea
o0000594	U+1235A	Gudea
o0000603	U+1235D	Gudea
o0000605	U+12360	Gudea
o0000608	U+12362	Gudea
o0000609	U+12363	Gudea
o0000614	U+1236A	Gudea
o0000614	U+1236A	Gudea
o0000212	U+1237C	Gudea
o0001444	U+1237D	Gudea
o0002079	U+1238E	Gudea
o0002323	U+1238F	Gudea
o0002305	U+12390	Gudea
o0000027	U+12408	Gudea
o0000040	U+12409	Gudea
o0000052	U+1240A	Gudea
o0000062	U+1240B	Gudea
o0000055	U+12410	Gudea
o0000010	U+1244A	Gudea
o0036120	U+F004C	Gudea
o0021192	U+F004F	Gudea
o0002758	U+F0051	Gudea
o0027582	U+F0052	Gudea
o0038396	U+F0053	Gudea
o0027653	U+F0054	Gudea
o0027655	U+F0055	Gudea
o0187962	U+F0056	Gudea
o0029097	U+F0057	Gudea
