@label	OB
@title	Oracc version of OB-Freie
@page	/osl/Fonts/Oracc-OBF/
@font	/home/oracc/www/fonts/Oracc-OBF-Regular.ttf
@css	ofs-oobf
@mag	110
@list	ABZL
o0000279	U+121A0	OB
o0001741	U+121A1	OB
o0000281	U+121A4	OB
o0000282	U+121A5	OB
o0000284	U+121A6	OB
o0000286	U+121A7	OB
o0000289	U+121AA	OB
o0000296	U+121AC	OB
o0000297	U+121AD	OB
o0000299	U+121AF	OB
o0000291	U+121B0	OB
o0000293	U+121B2	OB
o0000294	U+121B3	OB
o0000295	U+121B5	OB
o0000305	U+121B7	OB
o0000306	U+121B8	OB
o0001800	U+121B9	OB
o0001804	U+121C0	OB
o0001808	U+121C5	OB
o0001811	U+121C6	OB
o0001778	U+121C7	OB
o0001814	U+121C9	OB
o0001817	U+121CB	OB
o0001821	U+121D2	OB
o0001832	U+121E1	OB
o0001838	U+121E5	OB
o0001786	U+121E6	OB
o0001788	U+121E7	OB
o0000307	U+121EC	OB
o0001853	U+121ED	OB
o0000308	U+121EF	OB
o0001847	U+121F0	OB
o0000422	U+121F2	OB
o0000423	U+121F3	OB
o0000424	U+121F4	OB
o0000425	U+121F7	OB
o0000426	U+121F8	OB
o0000431	U+121FA	OB
o0000433	U+121FB	OB
o0000439	U+121FD	OB
o0001967	U+121FF	OB
o0001971	U+12200	OB
o0001973	U+12202	OB
o0001981	U+1220C	OB
o0001953	U+12213	OB
o0000440	U+12215	OB
o0000443	U+12216	OB
o0000434	U+12217	OB
o0000436	U+1221B	OB
o0000437	U+1221C	OB
o0000438	U+1221D	OB
o0000444	U+12220	OB
o0000445	U+12222	OB
o0000452	U+12223	OB
o0000446	U+12224	OB
o0000448	U+12225	OB
o0000449	U+12226	OB
o0000451	U+12227	OB
o0000453	U+12228	OB
o0000454	U+12229	OB
o0000455	U+1222A	OB
o0000456	U+1222B	OB
o0000457	U+1222C	OB
o0002016	U+1222D	OB
o0000458	U+1222E	OB
o0000459	U+1222F	OB
o0000460	U+12230	OB
o0000461	U+12231	OB
o0000463	U+12232	OB
o0002024	U+12236	OB
o0000466	U+12239	OB
o0002049	U+1223A	OB
o0000467	U+1223D	OB
o0000469	U+1223E	OB
o0000476	U+1223F	OB
o0000470	U+12240	OB
o0000471	U+12241	OB
o0000473	U+12244	OB
o0000130	U+12245	OB
o0000474	U+12246	OB
o0000475	U+12247	OB
o0000477	U+12248	OB
o0000478	U+1224B	OB
o0000479	U+1224C	OB
o0000486	U+1224E	OB
o0000482	U+1224F	OB
o0002081	U+12250	OB
o0000483	U+12252	OB
o0002109	U+12258	OB
o0002089	U+1225B	OB
o0000485	U+12260	OB
o0000487	U+12261	OB
o0000491	U+12262	OB
o0000488	U+12263	OB
o0002129	U+12266	OB
o0000489	U+12269	OB
o0002123	U+1226A	OB
o0000490	U+1226D	OB
o0002146	U+1226E	OB
o0002152	U+12274	OB
o0000497	U+1227A	OB
o0000498	U+1227B	OB
o0000499	U+1227C	OB
o0000500	U+1227D	OB
o0000501	U+1227E	OB
o0000502	U+1227F	OB
o0000503	U+1228A	OB
o0002244	U+1228C	OB
o0002245	U+1228D	OB
o0000510	U+1228F	OB
o0000511	U+12290	OB
o0000514	U+12291	OB
o0000516	U+12292	OB
o0000517	U+12293	OB
o0000520	U+12294	OB
o0000518	U+12295	OB
o0002279	U+1229A	OB
o0002293	U+122A0	OB
o0000519	U+122A8	OB
o0000522	U+122A9	OB
o0000523	U+122AB	OB
o0000524	U+122AC	OB
o0002824	U+122AD	OB
o0002828	U+122AE	OB
o0002695	U+122AF	OB
o0002698	U+122B2	OB
o0002701	U+122B4	OB
o0002829	U+122B7	OB
o0002827	U+122B9	OB
o0002831	U+122BA	OB
o0002714	U+122BB	OB
o0002708	U+122BD	OB
o0002832	U+122BE	OB
o0002833	U+122BF	OB
o0002834	U+122C0	OB
o0002837	U+122C3	OB
o0002743	U+122C4	OB
o0002838	U+122C6	OB
o0002752	U+122CB	OB
o0002839	U+122D2	OB
o0002840	U+122D3	OB
o0000493	U+122D4	OB
o0002842	U+122D6	OB
o0002845	U+122D7	OB
o0002850	U+122D9	OB
o0002848	U+122DA	OB
o0000525	U+122DB	OB
o0000526	U+122DC	OB
o0000526	U+122DC	OB
o0000527	U+122DD	OB
o0000528	U+122DE	OB
o0000529	U+122E0	OB
o0000530	U+122E1	OB
o0000531	U+122E2	OB
o0000532	U+122E4	OB
o0000534	U+122E5	OB
o0000535	U+122E6	OB
o0000536	U+122E7	OB
o0000539	U+122E9	OB
o0000540	U+122EA	OB
o0000541	U+122EB	OB
o0002407	U+122ED	OB
o0000544	U+122F0	OB
o0000546	U+122F3	OB
o0002401	U+122F7	OB
o0000547	U+122FA	OB
o0000548	U+122FB	OB
o0000550	U+122FC	OB
o0000551	U+122FD	OB
o0000553	U+122FE	OB
o0000555	U+12300	OB
o0002726	U+12301	OB
o0000556	U+12305	OB
o0000557	U+12306	OB
o0000558	U+12307	OB
o0000559	U+12308	OB
o0000560	U+12309	OB
o0000561	U+1230B	OB
o0000561	U+1230B	OB
o0002459	U+1230C	OB
o0002471	U+1230D	OB
o0000599	U+12311	OB
o0000564	U+12312	OB
o0000565	U+12313	OB
o0002500	U+12314	OB
o0002520	U+12317	OB
o0000462	U+12318	OB
o0000570	U+1231C	OB
o0000571	U+1231D	OB
o0000572	U+12322	OB
o0000573	U+12323	OB
o0000138	U+12324	OB
o0000575	U+12326	OB
o0000574	U+12327	OB
o0000576	U+12328	OB
o0002536	U+12329	OB
o0000585	U+1232B	OB
o0002595	U+12330	OB
o0002597	U+12331	OB
o0000588	U+12334	OB
o0000579	U+12335	OB
o0000581	U+12336	OB
o0000582	U+12337	OB
o0002553	U+12338	OB
o0002555	U+1233A	OB
o0002563	U+1233C	OB
o0002561	U+1233E	OB
o0002562	U+1233F	OB
o0002564	U+12340	OB
o0002566	U+12342	OB
o0002572	U+12347	OB
o0002576	U+1234B	OB
o0002578	U+1234E	OB
o0000584	U+1234F	OB
o0000595	U+12351	OB
o0002614	U+12352	OB
o0002617	U+12355	OB
o0000594	U+1235A	OB
o0000592	U+1235C	OB
o0000603	U+1235D	OB
o0000604	U+1235E	OB
o0000605	U+12360	OB
o0000608	U+12362	OB
o0000609	U+12363	OB
o0002666	U+12364	OB
o0000613	U+12365	OB
o0000611	U+12368	OB
o0000612	U+12369	OB
o0000614	U+1236A	OB
o0000617	U+1236E	OB
o0001107	U+12377	OB
o0000212	U+1237C	OB
o0001444	U+1237D	OB
o0002011	U+1238C	OB
o0002079	U+1238E	OB
o0002323	U+1238F	OB
o0002305	U+12390	OB
o0002475	U+12399	OB
o0000020	U+12401	OB
o0000034	U+12402	OB
o0000027	U+12408	OB
o0000040	U+12409	OB
o0000052	U+1240A	OB
o0000062	U+1240B	OB
o0000068	U+1240C	OB
o0000075	U+1240D	OB
o0000080	U+1240E	OB
o0000043	U+1240F	OB
o0000055	U+12410	OB
o0000008	U+1242C	OB
o0000018	U+1242D	OB
o0000030	U+1242E	OB
o0000427	U+1243C	OB
o0000003	U+1244F	OB
o0000011	U+12450	OB
o0000005	U+12458	OB
o0002849	U+1245A	OB
o0002826	U+1245B	OB
o0031993	U+12469	OB
o0031995	U+1246A	OB
o0000744	U+F004E	OB
o0027655	U+F0055	OB
o0038400	U+F0059	OB
o0038402	U+F005A	OB
o0029926	U+F005B	OB
o0038411	U+F005C	OB
o0038408	U+F005D	OB
o0038398	U+F005E	OB
o0001190	x120F0.x122FA.x122DB	OB
o0001425	x12118.x120FC	OB
o0001461	x12134.x12228	OB
o0001466	x12137.x1212D	OB
o0001469	x12137.x1223F	OB
o0001470	x12137.x122DB	OB
o0001489	x12146.x1207E	OB
o0001496	x12146.x1208D	OB
o0001492	x12146.x1209F	OB
o0001495	x12146.x120A0	OB
o0001511	x12146.x12292	OB
o0001516	x12146.x12328	OB
o0001586	x1219C.x121B3	OB
o0001772	x121B8.x121B8	OB
o0001893	x121F3.x1207A	OB
o0001896	x121F3.x121B8	OB
o0001898	x121F3.x122AC	OB
o0002003	x12223.x12195	OB
o0001993	x12226.x12118.x120FC	OB
o0002125	x12263.x121EC	OB
o0002231	x1227D.x1227D	OB
o0002300	x122A9.x120A0	OB
o0002302	x122A9.x12138	OB
o0002304	x122A9.x121B3	OB
o0002324	x122A9.x12307	OB
o0002327	x122A9.x12328	OB
o0002722	x122BA.x12240	OB
o0002728	x122BA.x122E6	OB
o0002740	x122C0.x121A0	OB
o0023027	x122D6.x12111	OB
o0023029	x122D9.x1202D.x1212F	OB
o0002811	x122D9.x1202D.x12132	OB
o0002809	x122D9.x1202F	OB
o0002813	x122D9.x1203E	OB
o0002403	x122FA.x1214E	OB
o0002412	x122FC.x12000	OB
o0002446	x1230B.x1201C	OB
o0002449	x1230B.x12074	OB
o0002450	x1230B.x12075	OB
o0002453	x1230B.x12099	OB
o0002457	x1230B.x120B5	OB
o0002456	x1230B.x120F6	OB
o0002461	x1230B.x12157	OB
o0002462	x1230B.x121A4	OB
o0002464	x1230B.x1222C	OB
o0002465	x1230B.x1228A	OB
o0002466	x1230B.x12295	OB
o0002524	x1231D.x12228	OB
o0002661	x12364.x12000	OB
o0002663	x12364.x120A0	OB
o0002665	x12364.x121B8	OB
