1(aš)	P115629.28.2 P200667.19.1 P236511.3.1 P236561.3.1 P250480.15.1 P250480.3.1 P255816.4.1 P256541.5.1 P256541.8.2 P256583.5.1 P260942.4.4 P262149.3.1 P276143.3.1 P276143.9.2 P283634.1.1 P373767.3.1 P381886.6.5 P381887.6.4 P381945.21.4 P381945.64.7 P405233.3.1 P411934.10.1 P411934.13.1 P411934.16.1 P411934.17.2 P411934.25.1 P411934.4.2 P411934.7.1 P503124.3.1
1(aš)-a	P260958.10.4 P262408.13.4 P276108.9.4
1(aš) 1(ban₂)	P262598.6.1+P262598.6.2 P262679.6.1+P262679.6.2
1(aš) 1(ban₂) 2(diš)	P236047.24.2+P236047.24.3+P236047.24.4
1(aš) 1(ban₂) 9(diš) 1/2(diš) sila[unit]N gur[unit]N	 P500453.5.1+P500453.5.2+P500453.5.3+P500453.5.4+P500453.5.5+P500453.5.7
1(aš) 1(ban₂) gur[unit]N	P262549.6.1+P262549.6.2+P262549.6.3
1(aš) 1(barig)	P236575.3.1+P236575.3.2 P262080.19.4+P262080.19.5 P262145.19.1+P262145.19.2 P262145.3.1+P262145.3.2 P283613.3.1+P283613.3.2 P502972.3.1+P502972.3.2 P502979.3.1+P502979.3.2
1(aš) 1(barig) 1(ban₂) 4(diš) sila[unit]N	 P262577.14.1+P262577.14.2+P262577.14.3+P262577.14.4+P262577.14.5
1(aš) 1(barig) 1(ban₂) 9(diš)	 P262514.16.1+P262514.16.2+P262514.16.3+P262514.16.4
1(aš) 1(barig) 1(ban₂) 9(diš) sila[unit]N	 P262516.15.1+P262516.15.2+P262516.15.3+P262516.15.4+P262516.15.5 P262641.15.1+P262641.15.2+P262641.15.3+P262641.15.4+P262641.15.5 P262644.15.1+P262644.15.2+P262644.15.3+P262644.15.4+P262644.15.5 P262647.15.1+P262647.15.2+P262647.15.3+P262647.15.4+P262647.15.5
1(aš) 1(barig) 2(ban₂) 4(diš) sila[unit]N	 P262578.13.1+P262578.13.2+P262578.13.3+P262578.13.4+P262578.13.5
1(aš) 1(barig) 2(ban₂) 5(diš) sila[unit]N	 P262670.14.1+P262670.14.2+P262670.14.3+P262670.14.4+P262670.14.5
1(aš) 1(barig) 2(ban₂) 8(diš) sila[unit]N	 P262667.13.1+P262667.13.2+P262667.13.3+P262667.13.4+P262667.13.5
1(aš) 1(barig) 2(ban₂) 9(diš) sila[unit]N	 P262573.12.1+P262573.12.2+P262573.12.3+P262573.12.4+P262573.12.5 P262575.14.1+P262575.14.2+P262575.14.3+P262575.14.4+P262575.14.5 P262637.13.1+P262637.13.2+P262637.13.3+P262637.13.4+P262637.13.5
1(aš) 1(barig) 2(ban₂) gur[unit]N 1(u)-kam	 P503034.12.1+P503034.12.2+P503034.12.3+P503034.12.4+P503034.12.6
1(aš) 1(barig) 2(ban₂) gur[unit]N 9(diš)-kam	 P503034.11.1+P503034.11.2+P503034.11.3+P503034.11.4+P503034.11.6
1(aš) 1(barig) 3(ban₂) 4(diš) sila[unit]N	 P262662.14.1+P262662.14.2+P262662.14.3+P262662.14.4+P262662.14.5
1(aš) 1(barig) 3(ban₂) 6(diš) sila[unit]N	 P262610.13.1+P262610.13.2+P262610.13.3+P262610.13.4+P262610.13.5
1(aš) 1(barig) 3(ban₂) 6(diš) sila[unit]N gur[unit]N	 P306490.7.2+P306490.7.3+P306490.7.4+P306490.7.5+P306490.7.6+P306490.7.7 P307344.5.2+P307344.5.3+P307344.5.4+P307344.5.5+P307344.5.6+P307344.5.7
1(aš) 1(barig) 3(ban₂) 8(diš) sila[unit]N	 P262657.14.1+P262657.14.2+P262657.14.3+P262657.14.4+P262657.14.5
1(aš) 1(barig) 3(ban₂) 9(diš) sila[unit]N	 P262683.14.1+P262683.14.2+P262683.14.3+P262683.14.4+P262683.14.5
1(aš) 1(barig) 3(ban₂) gur[unit]N	 P503030.5.1+P503030.5.2+P503030.5.3+P503030.5.4
1(aš) 1(barig) 3(diš) ban[unit]N gur[unit]N	 P224331.1.1+P224331.1.2+P224331.1.3+P224331.1.4+P224331.1.6
1(aš) 1(barig) 4(ban₂) 9(diš) sila[unit]N	 P262539.14.1+P262539.14.2+P262539.14.3+P262539.14.4+P262539.14.5 P262659.14.1+P262659.14.2+P262659.14.3+P262659.14.4+P262659.14.5
1(aš) 1(barig) 4(ban₂) gur[unit]N	 P310844.6.1+P310844.6.2+P310844.6.3+P310844.6.4
1(aš) 1(barig) 4(ban₂) gur[unit]N 1(u) 1(diš)-kam	 P503034.14.1+P503034.14.2+P503034.14.3+P503034.14.4+P503034.14.6+P503034.14.7
1(aš) 1(barig) 5(ban₂) 4(diš) sila[unit]N	 P262571.13.1+P262571.13.2+P262571.13.3+P262571.13.4+P262571.13.5 P262572.13.1+P262572.13.2+P262572.13.3+P262572.13.4+P262572.13.5 P262611.13.1+P262611.13.2+P262611.13.3+P262611.13.4+P262611.13.5 P262656.13.1+P262656.13.2+P262656.13.3+P262656.13.4+P262656.13.5
1(aš) 1(barig) 5(ban₂) 7(diš) sila[unit]N	 P262544.13.1+P262544.13.2+P262544.13.3+P262544.13.4+P262544.13.5 P262605.13.1+P262605.13.2+P262605.13.3+P262605.13.4+P262605.13.5 P262616.13.1+P262616.13.2+P262616.13.3+P262616.13.4+P262616.13.5
1(aš) 1(barig) 5(diš) sila[unit]N	 P262617.14.1+P262617.14.2+P262617.14.3+P262617.14.4
1(aš) 1(barig) gur[unit]N	P262150.18.1+P262150.18.2+P262150.18.3
1(aš) 2(ban₂) 4(diš) sila[unit]N	 P262521.13.1+P262521.13.2+P262521.13.3+P262521.13.4 P262676.13.1+P262676.13.2+P262676.13.3+P262676.13.4
1(aš) 2(ban₂) 5(ban₂) 4(diš) sila[unit]N	 P262677.14.1+P262677.14.2+P262677.14.3+P262677.14.4+P262677.14.5
1(aš) 2(barig)	P236191.15.1+P236191.15.2 P262150.34.1+P262150.34.2 P283570.1.1+P283570.1.2 P503026.5.1+P503026.5.2
1(aš) 2(barig) 1(ban₂) 3(diš) sila[unit]N	 P262561.15.1+P262561.15.2+P262561.15.3+P262561.15.4+P262561.15.5 P262600.15.1+P262600.15.2+P262600.15.3+P262600.15.4+P262600.15.5
