1(aš)	P114539.3.2 P114771.10.1 P114771.11.1 P114771.12.1 P114771.13.1 P114771.14.1 P114771.15.1 P114771.16.1 P114771.19.1 P114771.20.1 P114771.21.1 P114771.22.1 P114771.5.1 P114771.6.1 P114771.7.1 P114771.8.1 P114771.9.1 P213047.3.1 P217027.10.1 P217793.10.1 P217793.11.1 P217793.7.1 P217793.9.1 P217807.10.1 P217807.11.1 P217807.12.1 P217807.13.1 P217807.14.1 P217807.15.1 P217807.16.1 P217807.17.1 P217807.18.1 P217807.19.1 P217807.20.1 P217807.5.1 P217807.6.1 P217807.7.1 P217807.8.1 P217807.9.1 P217829.4.1 P217912.17.2 P222213.6.4 P222310.20.1 P247786.4.1
1(aš)-ta	P217021.53.5
1(aš) 1(ban₂)	P115020.10.1+P115020.10.2
1(aš) 2(ban₂)	P217769.10.1+P217769.10.2
1(aš) 2(barig)	P217021.35.1+P217021.35.2
1(aš) 2(barig) 1(ban₂) gur[unit]N	 P114602.13.2+P114602.13.3+P114602.13.4+P114602.13.5
1(aš) 2(barig) 3(ban₂) gur[unit]N	 P217021.27.3+P217021.27.4+P217021.27.5+P217021.27.6
1(aš) 2(barig) gur[unit]N	P206194.25.1+P206194.25.2+P206194.25.3
1(aš) gur[unit]N	P105724.5.3+P105724.5.4 P217021.18.3+P217021.18.4 P217021.19.3+P217021.19.4 P217021.26.3+P217021.26.4 P217021.60.3+P217021.60.4 P217021.6.3+P217021.6.4
1(aš@c)	P100842.4.1 P100844.6.1 P100847.10.1 P100849.3.1 P100849.9.3 P100850.3.1 P100853.6.1 P100853.8.1 P101729.5.1 P101729.6.1 P111561.13.1 P111561.14.1 P111561.17.1 P111561.24.1 P111561.25.1 P111561.25.3 P111561.26.1 P111561.26.4 P111561.28.1 P111561.28.3 P111561.30.1 P111561.31.1 P111561.31.3 P111561.32.1 P111561.32.4 P111561.34.1 P114568.14.3 P114568.15.3 P114568.6.1 P114909.15.1 P114909.18.2 P114909.9.1 P115865.11.1 P115865.12.1 P115865.20.2 P115865.21.1 P115865.24.1 P115865.25.1 P115865.26.1 P115865.27.1 P115865.31.1 P115865.32.1 P115865.34.1 P115865.37.1 P115865.43.1 P115865.44.1 P115865.54.1 P115865.56.1 P115865.59.1 P115865.60.1 P115865.7.1 P115873.3.1 P115873.7.1 P115994.3.1 P115994.4.1 P115995.3.1 P115996.3.1 P115996.5.1 P115996.8.1 P128414.14.1 P128414.17.1 P128414.35.1 P202578.15.1 P202578.3.2 P202578.5.1 P202578.8.2 P207081.12.1 P207081.25.1 P207081.27.1 P207081.28.1 P207081.51.1 P212435.12.1 P212435.13.1 P212435.16.1 P212435.17.1 P212435.18.1 P212435.19.1 P212435.20.1 P212598.3.1 P212599.5.1 P213047.3.3 P213052.22.5 P213052.24.5 P213052.26.5 P213052.4.1 P213053.16.5 P213053.21.6 P213054.14.1 P213054.24.1 P213054.30.1 P213054.33.1 P213054.5.1 P213061.6.1 P213069.3.1 P213100.3.1 P213100.4.1 P213100.6.1 P213100.9.1 P213101.10.1 P213101.3.1 P213101.5.1 P213101.6.1 P213101.8.1 P213101.9.1 P213102.3.1 P213102.5.1 P213103.7.1 P213104.10.1 P213104.3.1 P213104.5.1 P213104.8.1 P213105.3.1 P213107.5.3 P213107.6.3 P213108.8.1 P213110.11.1 P213110.6.1 P213110.7.1 P213114.3.1 P213114.4.1 P213114.5.1 P213115.3.1 P213116.10.1 P213116.11.1 P213116.12.1 P213116.13.1 P213116.4.1 P213116.6.1 P213117.3.1 P213117.5.1 P213117.7.1 P213118.3.1 P213124.12.1 P213129.7.1 P213131.10.1 P213131.3.1 P213131.6.1 P213251.10.1 P213251.14.1 P213251.15.1 P213251.19.1 P213251.4.1 P213251.9.1 P214764.10.1 P214764.7.1 P214861.11.2 P214861.5.2 P215691.3.1 P215691.3.3 P215691.5.1 P215691.7.1 P215691.9.1 P215701.6.4 P215761.12.2 P215761.12.4 P215761.5.1 P215761.8.1 P216888.10.1 P216888.12.1 P216888.13.1 P216888.14.1 P216888.15.1 P216956.26.2 P216961.12.1 P216962.3.1 P216962.5.1 P216976.10.1 P216976.11.1 P216976.16.1 P216976.17.1 P216976.18.1 P216976.19.1 P216976.21.1 P216976.21.3 P216976.22.1 P216976.5.1 P216976.6.1 P216976.7.4 P216976.9.3 P216976.9.7 P216977.14.1 P216979.3.1 P216979.4.1 P216981.3.1 P216986.3.1 P216986.3.3 P216986.4.1 P216986.5.1 P216987.10.1 P216987.3.1 P216987.7.1 P216988.4.5 P216990.3.1 P216990.6.1 P216991.12.1 P216991.3.1 P216991.5.1 P216992.3.1 P216993.104.1 P216993.121.1 P216993.122.1 P216993.126.1 P216993.130.1 P216993.133.1 P216993.136.1 P216993.139.1 P216993.142.1 P216993.145.1 P216993.16.1 P216993.170.1 P216993.17.1 P216993.174.1 P216993.195.1 P216993.20.1 P216993.21.1 P216993.22.1 P216993.23.1 P216993.24.1 P216993.25.1 P216993.32.1 P216993.4.1 P216993.42.1 P216993.43.1 P216993.44.1 P216993.45.1 P216993.47.1 P216993.5.1 P216993.54.3 P216993.56.1 P216993.57.1 P216993.6.1 P216993.7.1 P216993.76.1 P216993.79.1 P216993.80.1 P216993.82.1 P216993.84.1 P216993.88.1 P216993.89.1 P216993.9.1 P216993.93.1 P216995.11.1 P216995.12.1 P216995.13.1 P216995.14.1 P216995.17.1 P216995.18.1 P216995.20.1 P216995.21.1 P216995.22.1 P216995.23.1 P216995.24.1 P216995.25.1 P216995.26.1 P216995.27.1 P216995.28.1 P216995.29.1 P216995.34.1 P216995.35.1 P216995.36.1 P216995.39.1 P216995.40.1 P216995.41.1 P216995.4.1 P216995.42.1 P216995.43.1 P216995.44.1 P216995.45.1 P216995.46.1 P216995.47.1 P216995.5.1 P216995.53.1 P216995.54.1 P216995.55.1 P216995.57.1 P216995.58.1 P216995.6.1 P216995.7.1 P216995.8.1 P216995.9.1 P216996.15.1 P216996.16.1 P216996.4.1 P216997.7.1 P216997.8.1 P216997.9.1 P216999.4.1 P216999.5.1 P217001.23.1 P217001.24.1 P217001.42.1 P217002.10.1 P217002.4.1 P217002.6.1 P217006.3.1 P217006.5.1 P217009.10.1 P217009.3.1 P217009.6.1 P217009.9.1 P217010.10.1 P217010.6.1 P217012.3.1 P217012.4.1 P217012.8.1 P217013.4.1 P217013.6.1 P217013.8.1 P217016.11.1 P217016.11.3 P217016.14.1 P217016.14.3 P217016.17.1 P217016.17.4 P217016.18.1 P217016.3.3 P217016.4.1 P217016.9.1 P217017.3.1 P217018.10.1 P217018.12.1 P217018.14.1 P217018.15.3 P217018.17.1 P217018.19.3 P217018.3.4 P217018.6.1 P217019.10.1 P217019.11.1 P217019.12.1 P217019.13.1 P217019.14.1 P217019.15.1 P217019.16.1 P217019.17.1 P217019.17.3 P217019.22.1 P217019.22.3 P217019.30.3 P217019.31.1 P217019.34.3 P217019.36.1 P217019.38.1 P217019.38.3 P217019.40.1 P217019.43.1 P217019.44.1 P217019.45.1 P217019.50.1 P217019.51.1 P217019.52.1 P217019.53.1 P217019.53.3 P217019.57.1 P217019.61.1 P217019.62.1 P217019.63.1 P217019.64.1 P217019.65.1 P217019.67.1 P217019.7.3 P217019.9.1 P217020.23.1 P217020.24.1 P217021.10.1 P217021.14.1 P217021.15.1 P217021.27.1 P217021.30.1 P217021.31.1 P217021.32.1 P217021.33.1 P217021.37.1 P217021.38.1 P217021.40.1 P217021.41.1 P217021.49.1 P217021.50.1 P217021.56.1 P217021.60.1 P217021.62.1 P217021.63.1 P217021.71.1 P217027.19.1 P217027.22.1 P217029.3.4 P217677.11.1 P217677.14.1 P217677.16.1 P217677.17.1 P217677.18.1 P217677.19.1 P217677.20.1 P217677.9.1 P217678.3.1 P217678.4.1 P217681.10.1 P217681.11.1 P217681.3.1 P217682.4.1 P217682.6.1 P217683.12.1 P217683.13.1 P217683.3.1 P217683.5.1 P217683.6.1 P217683.7.1 P217683.8.1 P217685.3.1 P217685.4.1 P217687.3.1 P217687.4.1 P217688.10.2 P217689.5.1 P217690.10.1 P217690.12.1 P217690.13.1 P217690.14.1 P217690.15.1 P217690.16.1 P217690.17.1 P217690.7.1 P217690.8.1 P217690.9.1 P217691.19.1 P217691.21.1 P217696.6.1 P217696.8.1 P217697.15.1 P217697.5.1 P217697.6.1 P217699.3.1 P217699.6.1 P217700.5.3 P217701.3.1 P217701.5.1 P217701.6.1 P217701.7.1 P217701.8.1 P217705.10.1 P217705.11.1 P217705.16.1 P217705.17.1 P217705.19.1 P217705.21.1 P217705.5.1 P217705.6.1 P217705.7.1 P217705.9.1 P217706.11.1 P217706.15.1 P217706.18.1 P217706.6.1 P217706.6.3 P217706.7.1 P217706.7.3 P217706.8.1 P217707.4.1 P217707.5.1 P217708.19.5 P217708.6.3 P217710.10.1 P217710.11.1 P217710.15.1 P217710.19.1 P217710.4.1 P217710.5.1 P217710.5.3 P217710.6.1 P217710.7.1 P217710.8.1 P217710.9.1 P217711.12.1 P217711.7.1 P217712.11.1 P217712.12.1 P217712.13.1 P217712.9.1 P217714.3.1 P217714.4.1 P217714.6.1 P217724.19.1 P217724.22.1 P217724.23.1 P217725.11.1 P217725.18.1 P217725.19.1 P217725.20.1 P217725.22.1 P217725.7.1 P217725.8.1 P217725.9.1 P217726.14.1 P217726.16.1 P217726.6.3 P217727.8.1 P217729.20.1 P217731.12.1 P217731.19.1 P217734.14.1 P217734.19.1 P217734.20.1 P217735.10.1 P217735.11.1 P217735.12.1 P217735.17.1 P217735.20.1 P217735.21.1 P217735.25.1 P217735.26.1 P217735.28.1 P217735.29.1 P217735.3.3 P217735.5.1 P217735.6.1 P217735.7.3 P217735.9.1 P217736.10.3 P217736.17.2 P217736.8.4 P217737.10.1 P217737.11.1 P217737.13.1 P217737.5.1 P217737.6.1 P217737.7.1 P217737.7.3 P217737.9.1 P217738.3.1 P217740.15.1 P217740.16.1 P217742.16.1 P217742.17.1 P217742.18.1 P217742.19.1 P217742.20.1 P217742.21.1 P217742.3.1 P217742.5.1 P217742.7.1 P217742.8.1 P217746.111.1 P217746.115.1 P217746.17.1 P217746.18.1 P217746.19.1 P217746.21.1 P217746.23.1 P217746.24.1 P217746.26.1 P217746.27.1 P217746.31.1 P217746.32.1 P217746.34.1 P217746.35.1 P217746.37.1 P217746.38.1 P217746.49.1 P217746.52.1 P217746.55.1 P217746.58.1 P217746.65.1 P217746.67.1 P217746.69.1 P217746.72.1 P217746.74.1 P217746.76.1 P217746.77.1 P217746.83.1 P217746.84.1 P217747.10.1 P217747.12.1 P217747.13.1 P217747.18.1 P217747.18.3 P217747.22.1 P217747.24.1 P217747.55.1 P217748.12.1 P217748.17.1 P217748.21.1 P217748.24.1 P217748.27.1 P217748.29.1 P217748.3.1 P217748.4.1 P217748.4.4 P217748.6.1 P217748.6.4 P217748.8.1 P217748.9.1 P217751.10.1 P217751.11.1 P217751.12.1 P217751.13.1 P217751.14.1 P217751.15.1 P217751.16.1 P217751.17.1 P217751.19.1 P217751.21.1 P217751.22.1 P217751.23.1 P217751.24.1 P217751.25.1 P217751.26.1 P217751.27.1 P217751.28.1 P217751.29.1 P217751.3.1 P217751.5.1 P217751.6.1 P217751.8.1 P217751.9.1 P217752.10.1 P217752.11.2 P217752.19.1 P217752.21.1 P217752.24.1 P217752.25.1 P217752.28.1 P217752.38.2 P217752.5.1 P217753.10.1 P217753.11.1 P217753.12.1 P217753.13.1 P217753.14.1 P217753.16.1 P217753.18.1 P217753.21.1 P217753.21.3 P217753.25.1 P217753.27.1 P217753.8.1 P217753.9.1 P217756.11.1 P217757.11.2 P217757.21.1 P217757.22.1 P217757.24.2 P217757.26.1 P217757.29.1 P217757.30.1 P217760.10.1 P217760.11.1 P217760.12.1 P217760.13.1 P217760.16.1 P217760.17.1 P217760.18.1 P217760.19.1 P217760.20.1 P217760.21.1 P217760.22.1 P217760.27.1 P217760.28.1 P217760.7.1 P217760.8.1 P217760.9.1 P217761.10.1 P217761.11.1 P217761.12.1 P217761.14.1 P217761.23.1 P217761.24.1 P217761.25.1 P217761.26.1 P217761.27.1 P217761.28.1 P217761.29.1 P217761.3.1 P217761.5.1 P217761.6.1 P217761.7.1 P217761.8.1 P217764.10.3 P217764.11.3 P217765.3.1 P217765.4.1 P217765.6.1 P217765.7.1 P217766.3.1 P217770.21.1 P217770.23.1 P217770.24.1 P217770.26.1 P217770.28.1 P217770.31.1 P217770.32.1 P217770.4.1 P217770.7.1 P217770.9.1 P217771.11.1 P217771.12.1 P217771.14.1 P217771.15.1 P217771.17.1 P217771.3.1 P217771.5.1 P217771.7.1 P217771.9.1 P217775.10.1 P217775.11.1 P217775.14.1 P217775.16.1 P217775.17.1 P217775.18.1 P217775.19.1 P217775.20.1 P217775.21.1 P217775.22.1 P217775.5.1 P217775.5.5 P217775.7.1 P217775.9.1 P217777.7.1 P217778.10.3 P217778.15.3 P217778.24.2 P217778.6.3 P217780.10.1 P217780.11.1 P217780.12.1 P217780.3.1 P217780.5.1 P217780.6.1 P217780.8.1 P217781.5.1 P217781.7.1 P217782.10.1 P217782.11.1 P217782.12.1 P217782.15.1 P217782.17.1 P217782.19.1 P217782.21.1 P217782.22.1 P217782.6.1 P217782.8.1 P217783.17.2 P217783.5.1 P217783.8.1 P217784.10.1 P217784.11.1 P217784.12.1 P217784.13.1 P217784.14.1 P217784.15.1 P217784.17.1 P217784.18.1 P217784.19.1 P217784.20.1 P217784.21.1 P217784.22.1 P217784.23.1 P217784.24.1 P217784.25.1 P217784.26.1 P217784.27.1 P217784.28.1 P217784.3.1 P217784.4.1 P217784.6.1 P217784.7.1 P217784.8.1 P217784.9.1 P217786.3.1 P217786.6.1 P217788.10.1 P217788.11.1 P217788.23.1 P217788.28.4 P217788.4.1 P217788.9.1 P217789.17.3 P217789.19.1 P217792.10.1 P217792.12.1 P217792.13.1 P217792.14.1 P217792.7.1 P217792.8.1 P217794.3.1 P217797.16.1 P217797.20.1 P217797.21.1 P217797.28.1 P217797.29.1 P217797.33.4 P217797.34.4 P217799.3.1 P217800.11.3 P217800.25.1 P217800.27.1 P217800.30.1 P217800.31.1 P217800.33.2 P217800.37.1 P217800.8.1 P217801.11.2 P217801.15.1 P217801.17.1 P217801.27.1 P217801.30.1 P217801.3.1 P217801.5.1 P217801.9.2 P217803.10.2 P217803.11.1 P217805.12.1 P217805.17.2 P217805.24.1 P217805.25.1 P217805.28.3 P217805.29.1 P217805.34.1 P217805.35.1 P217812.8.1 P217812.9.1 P217813.10.1 P217813.11.1 P217814.11.1 P217814.14.1 P217814.3.3 P217814.5.1 P217817.10.2 P217817.3.1 P217817.6.1 P217817.7.1 P217820.21.1 P217820.24.1 P217820.25.1 P217822.10.1 P217822.16.2 P217822.20.1 P217823.22.1 P217824.10.1 P217824.12.1 P217824.13.1 P217824.14.1 P217824.15.1 P217824.16.1 P217824.20.1 P217824.24.1 P217824.26.1 P217824.27.1 P217826.3.1 P217828.3.1 P217841.5.1 P217841.6.1 P217841.7.1 P217849.3.1 P217850.3.1 P217850.4.1 P217852.8.1 P217852.9.1 P217854.3.1 P217854.4.1 P217859.4.1 P217861.13.1 P217861.15.1 P217861.16.1 P217861.3.1 P217861.5.1 P217861.6.1 P217861.7.1 P217861.8.1 P217862.3.1 P217863.3.1 P217863.5.1 P217864.3.1 P217866.3.1 P217866.5.1 P217866.6.1 P217866.8.1 P217868.5.1 P217869.3.1 P217869.4.1 P217869.9.1 P217871.4.1 P217872.4.1 P217877.9.1 P217879.3.1 P217882.3.1 P217882.5.1 P217884.3.1 P217884.4.1 P217884.5.1 P217884.6.1 P217886.7.1 P217888.5.1 P217889.3.1 P217892.3.1 P217892.4.1 P217894.3.1 P217894.5.1 P217894.6.1 P217894.8.1 P217895.5.3 P217899.10.1 P217899.11.1 P217899.15.1 P217899.16.1 P217899.9.1 P217901.7.3 P217907.3.1 P217907.7.1 P217911.10.1 P217911.3.1 P217914.6.1 P217916.12.1 P217916.4.1 P217916.6.1 P217916.7.1 P217916.8.1 P217916.9.1 P217919.3.1 P217921.3.1 P217921.9.2 P217923.4.1 P217927.3.1 P217927.5.1 P217932.3.1 P217944.3.1 P217944.4.1 P217944.6.1 P217944.7.1 P217948.3.1 P217949.14.1 P217951.3.1 P217951.5.1 P217951.6.1 P217956.5.1 P217956.8.2 P217963.10.1 P217963.12.1 P217963.7.1 P222220.10.1 P222220.10.3 P222220.12.1 P222220.12.3 P222220.14.1 P222220.3.1 P222220.3.4 P222220.5.1 P222220.5.4 P222220.7.1 P222220.7.4 P222222.21.1 P222222.22.1 P222310.9.1 P247738.12.1 P247738.3.1 P247738.4.1 P247738.5.1 P247738.6.1 P247738.8.1 P247738.9.1 P247741.3.1 P247741.5.1 P247742.8.1 P247743.4.1 P247743.6.1 P247743.9.1 P247748.13.1 P247748.17.1 P247748.23.1 P247749.10.1 P247749.11.1 P247749.12.1 P247749.15.1 P247749.16.1 P247749.17.1 P247749.18.1 P247749.19.1 P247749.20.1 P247749.21.1 P247749.22.1 P247749.23.1 P247749.24.1 P247749.5.1 P247749.6.1 P247749.7.1 P247749.9.1 P247750.11.1 P247753.13.1 P247753.3.1 P247753.6.1 P247755.12.4 P247755.3.1 P247756.5.1 P247756.6.1 P247761.11.1 P247761.12.1 P247761.13.1 P247761.14.1 P247761.16.1 P247761.4.1 P247761.5.1 P247761.6.1 P247761.7.1 P247761.8.1 P247761.9.1 P247762.12.1 P247762.16.1 P247762.3.1 P247762.4.1 P247762.6.1 P247762.9.1 P247764.4.1 P247765.3.3 P247766.3.1 P247769.3.1 P247770.11.1 P247770.5.1 P247770.9.1 P247773.3.1 P247773.4.1 P247773.5.1 P247773.7.1 P247774.3.1 P247775.13.3 P247777.5.1 P247785.7.1 P251543.3.1 P315655.10.1 P315655.14.1 P315655.3.1 P374665.11.1 P379193.8.1 P379227.3.1 P379347.3.1 P379572.10.1 P379572.2.1 P379572.3.1 P379572.6.1 P379572.8.1 P379644.3.1 P379865.6.4 P379915.2.1 P379915.3.1 P379915.4.1 P380418.3.1 P380421.10.1 P380421.12.1 P380421.13.1 P380421.15.1 P380421.17.1 P380421.19.1 P380421.3.1 P380421.7.1 P381110.6.1 P388591.11.1 P406261.20.1 P406261.28.1 P406261.29.1 P491922.6.1 P521704.3.1 P521704.8.1 P521705.4.1 P521705.7.1 P521710.3.1 P521713.11.1 P521713.3.1 P521713.7.1 P521713.8.1 P521715.3.1 P521715.5.1 P521716.3.1 P521719.3.1 P521719.4.1 P521719.5.1 P521719.7.1 P521720.3.1 X085533.2.1 X085533.7.1 X085871.3.1 X087188.3.1 X087188.5.1 X088538.3.1 X088538.5.1 X093950.3.1 X093950.6.1 X096501.3.1 X096501.4.1 X096501.5.1 X096501.7.1 X096551.3.1
